Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKCVM,,,,,,,,,,144.9814,144.9814
,PULIZIA - ,,,,,,,,,77.7541,77.7541
,,STRPULIZ - ,,,,,,,,77.7541,77.7541
,,,PUL.STR.00009,PAGLIETTE D'ACCIAIO 1CFX10PZ,PZ,PZ,1.0,1.6177,17,27.5009,27.5009
,,,PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,CF,CF,1.0,0.9905,26,21.3242,21.3242
,,,PUL.STR.00017,SACCHETTI ASPIRAPOLVERE 3G PICCOLO TMB,PZ,PZ,1.0,1.552,2,3.104,3.104
,,,PUL.STR.00018,PANNO BALLERINA 3PZX15CF,CF,CF,1.0,1.2391,22,25.3,25.3
,,,PUL.STR.00033,BUSTE TRASPARENTI CON ZIP 55X83 200PZ,PZ,PZ,1.0,0.175,3,0.525,0.525
,VARIE - ,,,,,,,,,67.2273,67.2273
,,CARTBUSA - ,,,,,,,,22.2655,22.2655
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,66,16.274,16.274
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,5,5.9915,5.9915
,,CORTGEN - ,,,,,,,,41.5818,41.5818
,,,VAR.COR.00005,SAPONETTE 15GR 2CFX250PZ,PZ,PZ,1.0,0.0809,262,39.3,39.3
,,,VAR.COR.00014,DOCCIA SHAMPOO 30ML 4CFX62PZ,PZ,PZ,1.0,0.3889,6,2.2818,2.2818
,,CORTPERS - ,,,,,,,,3.38,3.38
,,,VAR.PER.00005,CUFFIE DOCCIA PANORAMA 1000PZ,PZ,PZ,1.0,0.0543,26,3.38,3.38
,,,,,,,,,TOTALE,144.9814,144.9814
