Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKCVM,,,,,,,,,,105.4204,105.4204
,PULIZIA - ,,,,,,,,,16.0746,16.0746
,,STRPULIZ - ,,,,,,,,16.0746,16.0746
,,,PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,CF,CF,1.0,0.9905,4,3.6586,3.6586
,,,PUL.STR.00017,SACCHETTI ASPIRAPOLVERE 3G PICCOLO TMB,PZ,PZ,1.0,1.552,8,12.416,12.416
,VARIE - ,,,,,,,,,89.3458,89.3458
,,CARTBUSA - ,,,,,,,,7.5985,7.5985
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,16,3.9807,3.9807
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,3,3.6178,3.6178
,,CORTGEN - ,,,,,,,,79.9273,79.9273
,,,VAR.COR.00005,SAPONETTE 15GR 2CFX250PZ,PZ,PZ,1.0,0.0809,23,3.45,3.45
,,,VAR.COR.00014,DOCCIA SHAMPOO 30ML 4CFX62PZ,PZ,PZ,1.0,0.3889,199,76.4773,76.4773
,,CORTPERS - ,,,,,,,,1.82,1.82
,,,VAR.PER.00005,CUFFIE DOCCIA PANORAMA 1000PZ,PZ,PZ,1.0,0.0543,14,1.82,1.82
,,,,,,,,,TOTALE,105.4204,105.4204
