Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKCVM,,,,,,,,,,61.4842,61.4842
,FOOD - ,,,,,,,,,0.8137,0.8137
,,SPEZIECO - ,,,,,,,,0.8137,0.8137
,,,FOO.SPE.00001,ACETO DI VINO BIANCO,LT,LT,1.0,0.8144,1,0.8137,0.8137
,PULIZIA - ,,,,,,,,,28.0767,28.0767
,,STRPULIZ - ,,,,,,,,28.0767,28.0767
,,,PUL.STR.00001,PALETTA CON MANICO,PZ,PZ,1.0,2.4304,2,4.8608,4.8608
,,,PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,CF,CF,1.0,0.9905,4,3.9619,3.9619
,,,PUL.STR.00036,PANNO PER PAVIMENTI,PZ,PZ,1.0,1.9254,10,19.254,19.254
,VARIE - ,,,,,,,,,32.5938,32.5938
,,CARTBUSA - ,,,,,,,,20.9746,20.9746
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,60,14.9451,14.9451
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,5,6.0295,6.0295
,,CORTGEN - ,,,,,,,,11.0757,11.0757
,,,VAR.COR.00005,SAPONETTE 15GR 2CFX250PZ,PZ,PZ,1.0,0.0809,60,4.8525,4.8525
,,,VAR.COR.00014,DOCCIA SHAMPOO 30ML 4CFX62PZ,PZ,PZ,1.0,0.3889,16,6.2232,6.2232
,,CORTPERS - ,,,,,,,,0.5435,0.5435
,,,VAR.PER.00005,CUFFIE DOCCIA PANORAMA 1000PZ,PZ,PZ,1.0,0.0543,10,0.5435,0.5435
,,,,,,,,,TOTALE,61.4842,61.4842
