Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKHOTEL,,,,,,,,,,1708.2047,0
,BEVERAGE - ,,,,,,,,,242.808,0
,,ACQUA - ,,,,,,,,194.8527,0
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,480,56.697,0
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,918,138.1557,0
,,CAFFETT - ,,,,,,,,47.9553,0
,,,BEV.CAF.00004,CAMOMILLA 1CF X 20 PZ,CF,PZ,20.0,1.2891,2,2.4257,0
,,,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25.0,3.2405,13,39.0551,0
,,,BEV.CAF.00013,TISANA TWINNINGS FRUTTI ROSSI 1CFX20PZ,CF,PZ,20.0,3.211,2,6.4745,0
,FOOD - ,,,,,,,,,16.4823,0
,,MONODOLC - ,,,,,,,,16.4823,0
,,,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1.0,2.7154,5,11.9111,0
,,,FOO.MON.00009,ZUCCHERO DI CANNA BUSTINE 10KG,KG,KG,1.0,2.9253,2,4.5712,0
,PULIZIA - ,,,,,,,,,525.9072,0
,,DETERGEN - ,,,,,,,,59.7934,0
,,,PUL.DET.00011,AMMORBIDENTE 5KG,PZ,PZ,1.0,6.3359,2,10.8333,0
,,,PUL.DET.00012,DETERSIVO LAVATRICE NOVA 5KG,PZ,PZ,1.0,7.7402,3,12.0,0
,,,PUL.DET.00022,SAPONE MANI PER DISPENSE TORK 100MLX6PZ,PZ,PZ,1.0,8.402,4,32.8846,0
,,,PUL.DET.00028,SYD WC GEL 750MLX12PZ,PZ,PZ,1.0,0.5094,8,4.0755,0
,,STRPULIZ - ,,,,,,,,466.1138,0
,,,PUL.STR.00004,SCOPINO WC,PZ,PZ,1.0,3.0,3,9.0,0
,,,PUL.STR.00005,BASTONE PER SCOPA,PZ,PZ,1.0,1.229,3,1.918,0
,,,PUL.STR.00009,PAGLIETTE D'ACCIAIO 1CFX10PZ,PZ,PZ,1.0,1.6177,5,8.0887,0
,,,PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,CF,CF,1.0,0.9905,1,0.2,0
,,,PUL.STR.00015,GUANTI MARIGOLD MISURA S,CF,CF,1.0,1.0063,1,1.0063,0
,,,PUL.STR.00016,GUANTI MONOUSO 100PZ MISURA L,CF,CF,1.0,3.4091,2,6.8182,0
,,,PUL.STR.00017,SACCHETTI ASPIRAPOLVERE 3G PICCOLO TMB,PZ,PZ,1.0,1.552,30,46.56,0
,,,PUL.STR.00020,GUANTI MONOUSO 100PZ MISURA M,CF,CF,1.0,4.5,4,18.0,0
,,,PUL.STR.00021,PANNO VILEDA PVA VERDE 5PZ,PZ,PZ,0.0,2.512,10,20.241,0
,,,PUL.STR.00022,PANNO VILEDA PVA BLU 5PZ,PZ,PZ,0.0,2.5203,20,29.4737,0
,,,PUL.STR.00023,PANNO VILEDA PVA ROSA 5PZ,PZ,PZ,0.0,2.2635,10,12.5373,0
,,,PUL.STR.00024,PANNO VILEDA PVA GIALLO 5PZ,PZ,PZ,0.0,2.4222,20,56.0,0
,,,PUL.STR.00026,VELLO RICAMBIO 45CM,PZ,PZ,1.0,6.1665,7,43.1657,0
,,,PUL.STR.00030,BUSTE BIANCHERIA BIANCHE 1000PZ,CT,PZ,1000.0,200.0,1,200.0,0
,,,PUL.STR.00031,SCOPA VILEDA,PZ,PZ,1.0,2.9996,5,13.1049,0
,VARIE - ,,,,,,,,,923.0072,0
,,CARTBUSA - ,,,,,,,,245.6337,0
,,,VAR.CAR.00002,BUSTE SPAZZATURA 55X65 20KG,CT,CT,1.0,39.6471,1,42.0,0
,,,VAR.CAR.00005,BUSTE SPAZZATURA 90X120 20KG,CT,CT,1.0,35.5953,1,44.0,0
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,406,87.4462,0
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,66,72.1875,0
,,CORTGEN - ,,,,,,,,542.9,0
,,,VAR.COR.00003,VANITY SET,PZ,PZ,1.0,0.165,-108,-17.82,0
,,,VAR.COR.00006,DOCCIA SHAMPOO AMALFI COAST 30ML,PZ,PZ,1.0,0.7,1142,799.4,0
,,,VAR.COR.00007,SAPONETTE AMALFI COAST 15GR,PZ,PZ,1.0,0.2913,-918,-265.2,0
,,,VAR.COR.00013,BICCHIERI KRISTAL IMBUST 25CL 20CFX40PZ,PZ,PZ,1.0,0.0726,702,26.52,0
,,MONOUSO - ,,,,,,,,134.4735,0
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,76,35.7848,0
,,,VAR.MON.00004,ASCIUGAMANO XDISTR. PIEGA A Z TORK X21PZ,PZ,PZ,1.0,1.6472,84,48.8452,0
,,,VAR.MON.00009,BICCHIERI CARTA 380ML NATURALICA 1X50PZ,CF,CF,1.0,5.5827,11,45.3435,0
,,,VAR.MON.00028,PALETTINA THE/CAFFE 11 CM 1CFX500PZ,CF,CF,1.0,4.5,1,4.5,0
,,,,,,,,,TOTALE,1708.2047,0
