Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKHOTEL,,,,,,,,,,5142.5884,5142.5884
,BEVERAGE - ,,,,,,,,,656.0703,656.0703
,,ACQUA - ,,,,,,,,493.847,493.847
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,1387,163.8047,163.8047
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,2196,330.0423,330.0423
,,CAFFETT - ,,,,,,,,162.2233,162.2233
,,,BEV.CAF.00004,CAMOMILLA 1CF X 20 PZ,CF,PZ,20.0,1.2891,29,35.1712,35.1712
,,,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25.0,3.2405,11,33.9342,33.9342
,,,BEV.CAF.00013,TISANA TWINNINGS FRUTTI ROSSI 1CFX20PZ,CF,PZ,20.0,3.211,29,93.1179,93.1179
,FOOD - ,,,,,,,,,8.2513,8.2513
,,MONODOLC - ,,,,,,,,1.6172,1.6172
,,,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1.0,2.7154,2,5.0456,5.0456
,,,FOO.MON.00009,ZUCCHERO DI CANNA BUSTINE 10KG,KG,KG,1.0,2.9253,-1.5,-3.4284,-3.4284
,,SPEZIECO - ,,,,,,,,6.6341,6.6341
,,,FOO.SPE.00001,ACETO DI VINO BIANCO,LT,LT,1.0,0.8144,14,6.6341,6.6341
,MANUTENZ - ,,,,,,,,,2.665,2.665
,,STRMAN - ,,,,,,,,2.665,2.665
,,,MAN.SMA.00001,DUPLICATO CHIAVI,PZ,PZ,1.0,1.23,1,2.665,2.665
,PULIZIA - ,,,,,,,,,450.1436,450.1436
,,DETERGEN - ,,,,,,,,46.7656,46.7656
,,,PUL.DET.00009,SGRASSATORE CHANTECLAIR 600MLX12PZ,PZ,PZ,1.0,2.503,2,4.08,4.08
,,,PUL.DET.00011,AMMORBIDENTE 5KG,PZ,PZ,1.0,6.3359,4,21.6668,21.6668
,,,PUL.DET.00012,DETERSIVO LAVATRICE NOVA 5KG,PZ,PZ,1.0,7.7402,5,20.0,20.0
,,,PUL.DET.00028,SYD WC GEL 750MLX12PZ,PZ,PZ,1.0,0.5094,2,1.0188,1.0188
,,STRPULIZ - ,,,,,,,,403.378,403.378
,,,PUL.STR.00016,GUANTI MONOUSO 100PZ MISURA L,CF,CF,1.0,3.4091,1,3.4091,3.4091
,,,PUL.STR.00017,SACCHETTI ASPIRAPOLVERE 3G PICCOLO TMB,PZ,PZ,1.0,1.552,20,31.04,31.04
,,,PUL.STR.00020,GUANTI MONOUSO 100PZ MISURA M,CF,CF,1.0,4.5,1,4.5,4.5
,,,PUL.STR.00021,PANNO VILEDA PVA VERDE 5PZ,PZ,PZ,0.0,2.512,10,22.3101,22.3101
,,,PUL.STR.00022,PANNO VILEDA PVA BLU 5PZ,PZ,PZ,0.0,2.5203,10,14.737,14.737
,,,PUL.STR.00023,PANNO VILEDA PVA ROSA 5PZ,PZ,PZ,0.0,2.2635,10,12.537,12.537
,,,PUL.STR.00024,PANNO VILEDA PVA GIALLO 5PZ,PZ,PZ,0.0,2.4222,10,28.0,28.0
,,,PUL.STR.00033,BUSTE TRASPARENTI CON ZIP 55X83 200PZ,PZ,PZ,1.0,0.175,200,70.0,70.0
,,,PUL.STR.00034,SUPPORTO IN PLASTICA PER VELLO 45CM,PZ,PZ,1.0,4.0056,8,32.0448,32.0448
,,,PUL.STR.00042,SPUGNA MELANNINA I MOP XL (FOR),PZ,PZ,1.0,2.4,77,184.8,184.8
,VARIE - ,,,,,,,,,4025.4582,4025.4582
,,CANCELLE - ,,,,,,,,19.5864,19.5864
,,,VAR.CAN.00044,BLOCKNOTES,PZ,PZ,1.0,6.5288,3,19.5864,19.5864
,,CARTBUSA - ,,,,,,,,718.3985,718.3985
,,,VAR.CAR.00005,BUSTE SPAZZATURA 90X120 20KG,CT,CT,1.0,35.5953,2,88.0,88.0
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,2379,544.5154,544.5154
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,76,85.8831,85.8831
,,CORTGEN - ,,,,,,,,2995.9389,2995.9389
,,,VAR.COR.00002,PANTOFOLE,PZ,PZ,1.0,0.65,9,5.85,5.85
,,,VAR.COR.00003,VANITY SET,PZ,PZ,1.0,0.165,866,142.89,142.89
,,,VAR.COR.00006,DOCCIA SHAMPOO AMALFI COAST 30ML,PZ,PZ,1.0,0.7,2627,1838.9,1838.9
,,,VAR.COR.00007,SAPONETTE AMALFI COAST 15GR,PZ,PZ,1.0,0.2913,3316,965.9629,965.9629
,,,VAR.COR.00013,BICCHIERI KRISTAL IMBUST 25CL 20CFX40PZ,PZ,PZ,1.0,0.0726,1120,42.336,42.336
,,CORTPERS - ,,,,,,,,188.89,188.89
,,,VAR.PER.00005,CUFFIE DOCCIA PANORAMA 1000PZ,PZ,PZ,1.0,0.0543,1453,188.89,188.89
,,MONOUSO - ,,,,,,,,102.6444,102.6444
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,5,3.3361,3.3361
,,,VAR.MON.00009,BICCHIERI CARTA 380ML NATURALICA 1X50PZ,CF,CF,1.0,5.5827,23,94.8083,94.8083
,,,VAR.MON.00028,PALETTINA THE/CAFFE 11 CM 1CFX500PZ,CF,CF,1.0,4.5,1,4.5,4.5
,,,,,,,,,TOTALE,5142.5884,5142.5884
