Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKHOTEL,,,,,,,,,,2126.4688,2126.4688
,BEVERAGE - ,,,,,,,,,386.2635,386.2635
,,ACQUA - ,,,,,,,,313.0486,313.0486
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,290,41.5723,41.5723
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,1809,271.4763,271.4763
,,CAFFETT - ,,,,,,,,73.2149,73.2149
,,,BEV.CAF.00004,CAMOMILLA 1CF X 20 PZ,CF,PZ,20.0,1.2891,11,13.3408,13.3408
,,,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25.0,3.2405,9,27.7641,27.7641
,,,BEV.CAF.00013,TISANA TWINNINGS FRUTTI ROSSI 1CFX20PZ,CF,PZ,20.0,3.211,10,32.11,32.11
,FOOD - ,,,,,,,,,19.7715,19.7715
,,MONODOLC - ,,,,,,,,14.6284,14.6284
,,,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1.0,2.7154,3,7.7716,7.7716
,,,FOO.MON.00009,ZUCCHERO DI CANNA BUSTINE 10KG,KG,KG,1.0,2.9253,3,6.8568,6.8568
,,SPEZIECO - ,,,,,,,,5.1431,5.1431
,,,FOO.SPE.00001,ACETO DI VINO BIANCO,LT,LT,1.0,0.8144,7,5.1431,5.1431
,PULIZIA - ,,,,,,,,,117.1655,117.1655
,,DETERGEN - ,,,,,,,,61.793,61.793
,,,PUL.DET.00011,AMMORBIDENTE 5KG,PZ,PZ,1.0,6.3359,2,12.0152,12.0152
,,,PUL.DET.00012,DETERSIVO LAVATRICE NOVA 5KG,PZ,PZ,1.0,7.7402,7,49.7778,49.7778
,,STRPULIZ - ,,,,,,,,55.3725,55.3725
,,,PUL.STR.00020,GUANTI MONOUSO 100PZ MISURA M,CF,CF,1.0,4.5,6,27.0,27.0
,,,PUL.STR.00031,SCOPA VILEDA,PZ,PZ,1.0,2.9996,5,14.3725,14.3725
,,,PUL.STR.00033,BUSTE TRASPARENTI CON ZIP 55X83 200PZ,PZ,PZ,1.0,0.175,80,14.0,14.0
,VARIE - ,,,,,,,,,1603.2683,1603.2683
,,CARTBUSA - ,,,,,,,,744.4129,744.4129
,,,VAR.CAR.00002,BUSTE SPAZZATURA 55X65 20KG,CT,CT,1.0,39.6471,5,198.2353,198.2353
,,,VAR.CAR.00005,BUSTE SPAZZATURA 90X120 20KG,CT,CT,1.0,35.5953,3,122.8,122.8
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,1517,362.6508,362.6508
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,53,60.7268,60.7268
,,CORTGEN - ,,,,,,,,663.3647,663.3647
,,,VAR.COR.00002,PANTOFOLE,PZ,PZ,1.0,0.65,32,20.8,20.8
,,,VAR.COR.00003,VANITY SET,PZ,PZ,1.0,0.165,332,54.78,54.78
,,,VAR.COR.00005,SAPONETTE 15GR 2CFX250PZ,PZ,PZ,1.0,0.0809,530,79.5,79.5
,,,VAR.COR.00006,DOCCIA SHAMPOO AMALFI COAST 30ML,PZ,PZ,1.0,0.7,21,14.7,14.7
,,,VAR.COR.00007,SAPONETTE AMALFI COAST 15GR,PZ,PZ,1.0,0.2913,402,117.1026,117.1026
,,,VAR.COR.00013,BICCHIERI KRISTAL IMBUST 25CL 20CFX40PZ,PZ,PZ,1.0,0.0726,130,4.914,4.914
,,,VAR.COR.00014,DOCCIA SHAMPOO 30ML 4CFX62PZ,PZ,PZ,1.0,0.3889,1550,371.5681,371.5681
,,CORTPERS - ,,,,,,,,27.95,27.95
,,,VAR.PER.00005,CUFFIE DOCCIA PANORAMA 1000PZ,PZ,PZ,1.0,0.0543,215,27.95,27.95
,,MONOUSO - ,,,,,,,,167.5407,167.5407
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,87,58.0464,58.0464
,,,VAR.MON.00004,ASCIUGAMANO XDISTR. PIEGA A Z TORK X21PZ,PZ,PZ,1.0,1.6472,42,24.423,24.423
,,,VAR.MON.00009,BICCHIERI CARTA 380ML NATURALICA 1X50PZ,CF,CF,1.0,5.5827,19,80.5713,80.5713
,,,VAR.MON.00028,PALETTINA THE/CAFFE 11 CM 1CFX500PZ,CF,CF,1.0,4.5,1,4.5,4.5
,,,,,,,,,TOTALE,2126.4688,2126.4688
