Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKHOTEL,,,,,,,,,,2993.6223,2993.6223
,BEVERAGE - ,,,,,,,,,634.1114,634.1114
,,ACQUA - ,,,,,,,,559.1505,559.1505
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,1243,182.4354,182.4354
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,2497,374.6321,374.6321
,,,BEV.ACQ.00008,ACQUA NATURALE SORGESANA  2LTX6,BT,BT,1.0,0.2037,12,2.083,2.083
,,CAFFETT - ,,,,,,,,74.9609,74.9609
,,,BEV.CAF.00004,CAMOMILLA 1CF X 20 PZ,CF,PZ,20.0,1.2891,10,12.128,12.128
,,,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25.0,3.2405,11,33.9339,33.9339
,,,BEV.CAF.00013,TISANA TWINNINGS FRUTTI ROSSI 1CFX20PZ,CF,PZ,20.0,3.211,9,28.899,28.899
,FOOD - ,,,,,,,,,31.0706,31.0706
,,MONODOLC - ,,,,,,,,13.0624,13.0624
,,,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1.0,2.7154,3,7.8811,7.8811
,,,FOO.MON.00009,ZUCCHERO DI CANNA BUSTINE 10KG,KG,KG,1.0,2.9253,2,5.1813,5.1813
,,SPEZIECO - ,,,,,,,,18.0082,18.0082
,,,FOO.SPE.00001,ACETO DI VINO BIANCO,LT,LT,1.0,0.8144,23,18.0082,18.0082
,MANUTENZ - ,,,,,,,,,4.18,4.18
,,MATEDILE - ,,,,,,,,4.18,4.18
,,,MAN.MED.00052,CEMENTO RAPIDO KG1,PZ,PZ,1.0,1.3933,3,4.18,4.18
,PULIZIA - ,,,,,,,,,163.1427,163.1427
,,DETERGEN - ,,,,,,,,86.3239,86.3239
,,,PUL.DET.00009,SGRASSATORE CHANTECLAIR 600MLX12PZ,PZ,PZ,1.0,2.503,6,12.24,12.24
