Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKHOTEL,,,,,,,,,,4519.4072,4519.4072
,BEVERAGE - ,,,,,,,,,773.9126,773.9126
,,ACQUA - ,,,,,,,,543.8532,543.8532
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,1134,168.2532,168.2532
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,2504,375.6,375.6
,,CAFFETT - ,,,,,,,,56.2594,56.2594
,,,BEV.CAF.00004,CAMOMILLA 1CF X 20 PZ,CF,PZ,20.0,1.2891,12,15.0876,15.0876
,,,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25.0,3.2405,7,21.9058,21.9058
,,,BEV.CAF.00013,TISANA TWINNINGS FRUTTI ROSSI 1CFX20PZ,CF,PZ,20.0,3.211,6,19.266,19.266
,,LIQUORI - ,,,,,,,,173.8,173.8
,,,BEV.LIQ.00029,LIQUORE LIMONCELLO CARLO MANSI 4 CL,PZ,PZ,1.0,2.2,79,173.8,173.8
,FOOD - ,,,,,,,,,28.8648,28.8648
,,MONODOLC - ,,,,,,,,8.0744,8.0744
,,,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1.0,2.7154,2,5.4838,5.4838
,,,FOO.MON.00009,ZUCCHERO DI CANNA BUSTINE 10KG,KG,KG,1.0,2.9253,1,2.5906,2.5906
,,SPEZIECO - ,,,,,,,,20.7904,20.7904
,,,FOO.SPE.00001,ACETO DI VINO BIANCO,LT,LT,1.0,0.8144,20,16.0218,16.0218
,,,FOO.SPE.00017,SALE GROSSO 1KG,KG,KG,1.0,0.3974,12,4.7686,4.7686
,MANUTENZ - ,,,,,,,,,53.28,53.28
,,MATIDRAU - ,,,,,,,,53.28,53.28
,,,MAN.MID.00057,RUBINETTO LAVELLO,PZ,PZ,1.0,53.28,1,53.28,53.28
,PULIZIA - ,,,,,,,,,725.0985,725.0985
,,DETERGEN - ,,,,,,,,159.4251,159.4251
,,,PUL.DET.00011,AMMORBIDENTE 5KG,PZ,PZ,1.0,6.3359,8,48.9362,48.9362
,,,PUL.DET.00012,DETERSIVO LAVATRICE NOVA 5KG,PZ,PZ,1.0,7.7402,10,73.9392,73.9392
,,,PUL.DET.00013,ACE CANDEGGINA 3LTX6PZ,PZ,PZ,1.0,2.2657,1,2.2486,2.2486
,,,PUL.DET.00022,SAPONE MANI PER DISPENSE TORK 100MLX6PZ,PZ,PZ,1.0,8.402,2,16.4424,16.4424
,,,PUL.DET.00031,DETERGENTE PIATTI VIC LEMON 5KGX4PZ,PZ,PZ,1.0,4.5989,2,7.0587,7.0587
,,,PUL.DET.00047,ANTICALCARE ATA VIA CALCARE,PZ,PZ,1.0,3.0,1,3.0,3.0
,,,PUL.DET.00050,SMACCHIATORE KH-7 750ML,PZ,PZ,1.0,3.9,2,7.8,7.8
,,STRPULIZ - ,,,,,,,,565.6734,565.6734
,,,PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,CF,CF,1.0,0.9905,2,1.6403,1.6403
,,,PUL.STR.00016,GUANTI MONOUSO 100PZ MISURA L,CF,CF,1.0,3.4091,1,3.4091,3.4091
,,,PUL.STR.00017,SACCHETTI ASPIRAPOLVERE 3G PICCOLO TMB,PZ,PZ,1.0,1.552,9,13.968,13.968
,,,PUL.STR.00018,PANNO BALLERINA 3PZX15CF,CF,CF,1.0,1.2391,2,2.3,2.3
,,,PUL.STR.00020,GUANTI MONOUSO 100PZ MISURA M,CF,CF,1.0,4.5,2,9.0,9.0
,,,PUL.STR.00021,PANNO VILEDA PVA VERDE 5PZ,PZ,PZ,0.0,2.512,10,25.242,25.242
,,,PUL.STR.00022,PANNO VILEDA PVA BLU 5PZ,PZ,PZ,0.0,2.5203,20,44.516,44.516
,,,PUL.STR.00023,PANNO VILEDA PVA ROSA 5PZ,PZ,PZ,0.0,2.2635,10,17.525,17.525
,,,PUL.STR.00024,PANNO VILEDA PVA GIALLO 5PZ,PZ,PZ,0.0,2.4222,70,196.0,196.0
,,,PUL.STR.00026,VELLO RICAMBIO 45CM,PZ,PZ,1.0,6.1665,3,18.4995,18.4995
,,,PUL.STR.00031,SCOPA VILEDA,PZ,PZ,1.0,2.9996,3,8.6235,8.6235
,,,PUL.STR.00033,BUSTE TRASPARENTI CON ZIP 55X83 200PZ,PZ,PZ,1.0,0.175,40,7.0,7.0
,,,PUL.STR.00039,PAD PER BAGNO ROSSO (FOR),PZ,PZ,1.0,4.95,14,69.3,69.3
,,,PUL.STR.00040,PAD PER CAMERE BLU (FOR),PZ,PZ,1.0,4.95,15,74.25,74.25
,,,PUL.STR.00042,SPUGNA MELANNINA I MOP XL (FOR),PZ,PZ,1.0,2.4,31,74.4,74.4
,VARIE - ,,,,,,,,,2938.2513,2938.2513
,,CARTBUSA - ,,,,,,,,778.3925,778.3925
,,,VAR.CAR.00005,BUSTE SPAZZATURA 90X120 20KG,CT,CT,1.0,35.5953,4,148.762,148.762
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,2155,531.3699,531.3699
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,82,98.2606,98.2606
,,CORTGEN - ,,,,,,,,1759.1574,1759.1574
,,,VAR.COR.00002,PANTOFOLE,PZ,PZ,1.0,0.65,11,7.15,7.15
,,,VAR.COR.00003,VANITY SET,PZ,PZ,1.0,0.165,1021,168.465,168.465
,,,VAR.COR.00005,SAPONETTE 15GR 2CFX250PZ,PZ,PZ,1.0,0.0809,1733,259.95,259.95
,,,VAR.COR.00013,BICCHIERI KRISTAL IMBUST 25CL 20CFX40PZ,PZ,PZ,1.0,0.0726,624,41.6011,41.6011
,,,VAR.COR.00014,DOCCIA SHAMPOO 30ML 4CFX62PZ,PZ,PZ,1.0,0.3889,3371,1281.9913,1281.9913
,,CORTPERS - ,,,,,,,,114.66,114.66
,,,VAR.PER.00005,CUFFIE DOCCIA PANORAMA 1000PZ,PZ,PZ,1.0,0.0543,882,114.66,114.66
,,MONOUSO - ,,,,,,,,286.0414,286.0414
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,16,12.672,12.672
,,,VAR.MON.00004,ASCIUGAMANO XDISTR. PIEGA A Z TORK X21PZ,PZ,PZ,1.0,1.6472,34,19.771,19.771
,,,VAR.MON.00009,BICCHIERI CARTA 380ML NATURALICA 1X50PZ,CF,CF,1.0,5.5827,16,80.5984,80.5984
,,,VAR.MON.00035,GUANTI MONOUSO MISURA M CHEF,CF,CF,1.0,5.5,5,27.5,27.5
,,,VAR.MON.00041,BICCHIERI PERSONALIZZATI 1000PZ,CF,CF,1.0,9.7,15,145.5,145.5
,,,,,,,,,TOTALE,4519.4072,4519.4072
