Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKHOTEL,,,,,,,,,,3482.1391,3482.1391
,BEVERAGE - ,,,,,,,,,686.571,686.571
,,ACQUA - ,,,,,,,,570.576,570.576
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,1140,169.176,169.176
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,2676,401.4,401.4
,,CAFFETT - ,,,,,,,,113.795,113.795
,,,BEV.CAF.00004,CAMOMILLA 1CF X 20 PZ,CF,PZ,20.0,1.2891,9,11.6017,11.6017
,,,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25.0,3.2405,13,41.1843,41.1843
,,,BEV.CAF.00013,TISANA TWINNINGS FRUTTI ROSSI 1CFX20PZ,CF,PZ,20.0,3.211,19,61.009,61.009
,,LIQUORI - ,,,,,,,,2.2,2.2
,,,BEV.LIQ.00029,LIQUORE LIMONCELLO CARLO MANSI 4 CL,PZ,PZ,1.0,2.2,1,2.2,2.2
,FOOD - ,,,,,,,,,15.441,15.441
,,MONODOLC - ,,,,,,,,8.1463,8.1463
,,,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1.0,2.7154,3,8.1463,8.1463
,,SPEZIECO - ,,,,,,,,7.2947,7.2947
,,,FOO.SPE.00001,ACETO DI VINO BIANCO,LT,LT,1.0,0.8144,9,7.2947,7.2947
,MANUTENZ - ,,,,,,,,,20.5756,20.5756
,,MATELETT - ,,,,,,,,20.5756,20.5756
,,,MAN.ELE.00017,ASPIRATORE WC MINI STYLE D.100,PZ,PZ,1.0,20.5756,1,20.5756,20.5756
,PULIZIA - ,,,,,,,,,749.0339,749.0339
,,DETERGEN - ,,,,,,,,254.1838,254.1838
,,,PUL.DET.00011,AMMORBIDENTE 5KG,PZ,PZ,1.0,6.3359,7,44.351,44.351
,,,PUL.DET.00012,DETERSIVO LAVATRICE NOVA 5KG,PZ,PZ,1.0,7.7402,7,54.1817,54.1817
,,,PUL.DET.00013,ACE CANDEGGINA 3LTX6PZ,PZ,PZ,1.0,2.2657,1,2.2657,2.2657
,,,PUL.DET.00022,SAPONE MANI PER DISPENSE TORK 100MLX6PZ,PZ,PZ,1.0,8.402,5,41.106,41.106
,,,PUL.DET.00026,ACETO DI ALCOOL 1LTX12PZ,PZ,PZ,1.0,0.95,29,27.55,27.55
,,,PUL.DET.00031,DETERGENTE PIATTI VIC LEMON 5KGX4PZ,PZ,PZ,1.0,4.5989,1,3.5294,3.5294
,,,PUL.DET.00036,BUSTINE DETERSIVO LIQUIDO 50GR,PZ,PZ,1.0,0.4,81,32.4,32.4
,,,PUL.DET.00037,BUSTINE AMMORBIDENTE 50ML,PZ,PZ,1.0,0.35,10,3.5,3.5
,,,PUL.DET.00050,SMACCHIATORE KH-7 750ML,PZ,PZ,1.0,3.9,1,3.9,3.9
,,,PUL.DET.00051,CREMA MANI 1PZX5KG,PZ,PZ,1.0,6.0,1,6.0,6.0
,,,PUL.DET.00054,ACIDO CITRICO 500G,PZ,PZ,1.0,5.9,6,35.4,35.4
,,STRPULIZ - ,,,,,,,,494.8501,494.8501
,,,PUL.STR.00017,SACCHETTI ASPIRAPOLVERE 3G PICCOLO TMB,PZ,PZ,1.0,1.552,8,12.416,12.416
,,,PUL.STR.00018,PANNO BALLERINA 3PZX15CF,CF,CF,1.0,1.2391,3,3.6341,3.6341
,,,PUL.STR.00020,GUANTI MONOUSO 100PZ MISURA M,CF,CF,1.0,4.5,4,18.0,18.0
,,,PUL.STR.00033,BUSTE TRASPARENTI CON ZIP 55X83 200PZ,PZ,PZ,1.0,0.175,20,3.5,3.5
,,,PUL.STR.00042,SPUGNA MELANNINA I MOP XL (FOR),PZ,PZ,1.0,2.4,52,124.8,124.8
,,,PUL.STR.00046,MOP PAVIMENTI ROSSO (FOR),PZ,PZ,1.0,9.5,35,332.5,332.5
,VARIE - ,,,,,,,,,2010.5176,2010.5176
,,CARTBUSA - ,,,,,,,,801.9795,801.9795
,,,VAR.CAR.00002,BUSTE SPAZZATURA 55X65 20KG,CT,CT,1.0,39.6471,1,39.6471,39.6471
,,,VAR.CAR.00005,BUSTE SPAZZATURA 90X120 20KG,CT,CT,1.0,35.5953,3,106.7858,106.7858
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,2052,510.5199,510.5199
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,114,137.4781,137.4781
,,,VAR.CAR.00015,BOBINA CARTA STRONG 800 STRAPPIX10,PZ,PZ,1.0,3.7585,2,7.5486,7.5486
,,CORTGEN - ,,,,,,,,941.5188,941.5188
,,,VAR.COR.00002,PANTOFOLE,PZ,PZ,1.0,0.65,15,9.75,9.75
,,,VAR.COR.00003,VANITY SET,PZ,PZ,1.0,0.165,519,85.635,85.635
,,,VAR.COR.00005,SAPONETTE 15GR 2CFX250PZ,PZ,PZ,1.0,0.0809,367,55.05,55.05
