Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
HSKHOTEL,,,,,,,,,,2491.6253,2491.6253
,BEVERAGE - ,,,,,,,,,331.8332,331.8332
,,ACQUA - ,,,,,,,,273.9901,273.9901
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,536,80.1901,80.1901
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,1292,193.8,193.8
,,CAFFETT - ,,,,,,,,57.8431,57.8431
,,,BEV.CAF.00004,CAMOMILLA 1CF X 20 PZ,CF,PZ,20.0,1.2891,10,12.891,12.891
,,,BEV.CAF.00010,THE TWINNINGS NERO ENG. BREAKFAST 1CFX25,CF,PZ,25.0,3.2405,10,32.1081,32.1081
,,,BEV.CAF.00013,TISANA TWINNINGS FRUTTI ROSSI 1CFX20PZ,CF,PZ,20.0,3.211,4,12.844,12.844
,FOOD - ,,,,,,,,,9.2246,9.2246
,,MONODOLC - ,,,,,,,,2.7154,2.7154
,,,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1.0,2.7154,1,2.7154,2.7154
,,SPEZIECO - ,,,,,,,,6.5092,6.5092
,,,FOO.SPE.00001,ACETO DI VINO BIANCO,LT,LT,1.0,0.8144,8,6.5092,6.5092
,MANUTENZ - ,,,,,,,,,14.5684,14.5684
,,MATELETT - ,,,,,,,,14.5684,14.5684
,,,MAN.ELE.00024,LAMPADA LED BISPINA 5W G9 3K,PZ,PZ,1.0,1.2488,8,9.9904,9.9904
,,,MAN.ELE.00051,"LAMPADINA LED 5,5W E14 3000K",PZ,PZ,1.0,1.526,3,4.578,4.578
,PULIZIA - ,,,,,,,,,423.6288,423.6288
,,DETERGEN - ,,,,,,,,142.4686,142.4686
,,,PUL.DET.00011,AMMORBIDENTE 5KG,PZ,PZ,1.0,6.3359,6,38.0154,38.0154
,,,PUL.DET.00012,DETERSIVO LAVATRICE NOVA 5KG,PZ,PZ,1.0,7.7402,6,46.4412,46.4412
,,,PUL.DET.00022,SAPONE MANI PER DISPENSE TORK 100MLX6PZ,PZ,PZ,1.0,8.402,6,50.412,50.412
,,,PUL.DET.00026,ACETO DI ALCOOL 1LTX12PZ,PZ,PZ,1.0,0.95,8,7.6,7.6
,,STRPULIZ - ,,,,,,,,281.1602,281.1602
,,,PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,CF,CF,1.0,0.9905,40,39.619,39.619
,,,PUL.STR.00017,SACCHETTI ASPIRAPOLVERE 3G PICCOLO TMB,PZ,PZ,1.0,1.552,18,27.936,27.936
,,,PUL.STR.00018,PANNO BALLERINA 3PZX15CF,CF,CF,1.0,1.2391,15,18.5863,18.5863
,,,PUL.STR.00021,PANNO VILEDA PVA VERDE 5PZ,PZ,PZ,0.0,2.512,13,32.656,32.656
,,,PUL.STR.00022,PANNO VILEDA PVA BLU 5PZ,PZ,PZ,0.0,2.5203,5,12.6015,12.6015
,,,PUL.STR.00023,PANNO VILEDA PVA ROSA 5PZ,PZ,PZ,0.0,2.2635,5,11.3175,11.3175
,,,PUL.STR.00024,PANNO VILEDA PVA GIALLO 5PZ,PZ,PZ,0.0,2.4222,20,48.4439,48.4439
,,,PUL.STR.00043,DISCO MELANNINA PER I MOP XL (FOR),PZ,PZ,1.0,22.5,4,90.0,90.0
,VARIE - ,,,,,,,,,1712.3703,1712.3703
,,CANCELLE - ,,,,,,,,0.3889,0.3889
,,,VAR.CAN.00007,EVIDENZIATORI MULTICOLORE,PZ,PZ,1.0,0.3889,1,0.3889,0.3889
,,CARTBUSA - ,,,,,,,,436.383,436.383
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,1374,342.2418,342.2418
,,,VAR.CAR.00010,BUSTE SPAZZATURA 72X110 40PZ ROTOLI,PZ,PZ,1.0,1.5094,40,60.376,60.376
,,,VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,PZ,PZ,1.0,1.2059,28,33.7652,33.7652
,,CORTGEN - ,,,,,,,,1055.0173,1055.0173
,,,VAR.COR.00002,PANTOFOLE,PZ,PZ,1.0,0.65,15,9.75,9.75
,,,VAR.COR.00003,VANITY SET,PZ,PZ,1.0,0.165,200,33.0,33.0
,,,VAR.COR.00005,SAPONETTE 15GR 2CFX250PZ,PZ,PZ,1.0,0.0809,1250,101.0945,101.0945
,,,VAR.COR.00013,BICCHIERI KRISTAL IMBUST 25CL 20CFX40PZ,PZ,PZ,1.0,0.0726,753,54.6702,54.6702
,,,VAR.COR.00014,DOCCIA SHAMPOO 30ML 4CFX62PZ,PZ,PZ,1.0,0.3889,1796,698.5526,698.5526
,,,VAR.COR.00015,CREMA CORPO 20 ML,PZ,PZ,1.0,0.27,585,157.95,157.95
,,CORTPERS - ,,,,,,,,4.7283,4.7283
,,,VAR.PER.00005,CUFFIE DOCCIA PANORAMA 1000PZ,PZ,PZ,1.0,0.0543,87,4.7283,4.7283
,,MONOUSO - ,,,,,,,,215.8528,215.8528
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,64,31.7037,31.7037
,,,VAR.MON.00004,ASCIUGAMANO XDISTR. PIEGA A Z TORK X21PZ,PZ,PZ,1.0,1.6472,18,29.6491,29.6491
,,,VAR.MON.00028,PALETTINA THE/CAFFE 11 CM 1CFX500PZ,CF,CF,1.0,4.5,2,9.0,9.0
,,,VAR.MON.00041,BICCHIERI PERSONALIZZATI 1000PZ,CF,CF,1.0,9.7,15,145.5,145.5
,,,,,,,,,TOTALE,2491.6253,2491.6253
