Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
IMBARCAZ,,,,,,,,,,55.7042,55.7042
,BEVERAGE - ,,,,,,,,,48.1468,48.1468
,,ACQUA - ,,,,,,,,16.1035,16.1035
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,60,7.086,7.086
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,60,9.0175,9.0175
,,APERITIV - ,,,,,,,,21.8884,21.8884
,,,BEV.APE.00003,APEROL,LT,CL,100.0,10.9442,2,21.8884,21.8884
,,VINBOLL - ,,,,,,,,10.1549,10.1549
,,,BEV.BOL.00001,PROSECCO TERRA SERENA 75CL X 6,BT,CL,0.75,5.7589,2,10.1549,10.1549
,PULIZIA - ,,,,,,,,,7.5574,7.5574
,,DETERGEN - ,,,,,,,,3.913,3.913
,,,PUL.DET.00009,SGRASSATORE CHANTECLAIR 600MLX12PZ,PZ,PZ,1.0,2.503,1,2.04,2.04
,,,PUL.DET.00018,ANTICALCARE VIAKAL 470MLX10PZ,PZ,PZ,1.0,1.3636,1,1.3636,1.3636
,,,PUL.DET.00028,SYD WC GEL 750MLX12PZ,PZ,PZ,1.0,0.5094,1,0.5094,0.5094
,,STRPULIZ - ,,,,,,,,3.6444,3.6444
,,,PUL.STR.00036,PANNO PER PAVIMENTI,PZ,PZ,1.0,1.9254,2,3.6444,3.6444
,,,,,,,,,TOTALE,55.7042,55.7042
