Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
IMBARCAZ,,,,,,,,,,120.3303,120.3303
,BEVERAGE - ,,,,,,,,,108.0667,108.0667
,,ACQUA - ,,,,,,,,56.9333,56.9333
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,84,12.0416,12.0416
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,168,25.2117,25.2117
,,,BEV.ACQ.00009,ACQUA FRIZZANTE SVEVA 50CLX24PZ,BT,BT,1.0,0.1229,48,7.872,7.872
,,,BEV.ACQ.00010,ACQUA NATURALE LILIA 50CLX24PZ,BT,BT,1.0,0.164,72,11.808,11.808
,,APERITIV - ,,,,,,,,21.8884,21.8884
,,,BEV.APE.00003,APEROL,LT,CL,100.0,10.9442,2,21.8884,21.8884
,,BIRRE - ,,,,,,,,17.92,17.92
,,,BEV.BIR.00003,BIRRA NASTRO AZZURRO 33CL X 24 LATTINA,BT,BT,1.0,0.6458,24,17.92,17.92
,,VINBOLL - ,,,,,,,,11.325,11.325
,,,BEV.BOL.00001,PROSECCO TERRA SERENA 75CL X 6,BT,CL,0.75,5.7589,2,11.325,11.325
,FOOD - ,,,,,,,,,2.5905,2.5905
,,MONODOLC - ,,,,,,,,2.5905,2.5905
,,,FOO.MON.00008,ZUCCHERO BUSTINE ERIDIANA 10KG,KG,KG,1.0,2.7154,1,2.5905,2.5905
,PULIZIA - ,,,,,,,,,9.6731,9.6731
,,DETERGEN - ,,,,,,,,5.953,5.953
,,,PUL.DET.00009,SGRASSATORE CHANTECLAIR 600MLX12PZ,PZ,PZ,1.0,2.503,2,4.08,4.08
,,,PUL.DET.00018,ANTICALCARE VIAKAL 470MLX10PZ,PZ,PZ,1.0,1.3636,1,1.3636,1.3636
,,,PUL.DET.00028,SYD WC GEL 750MLX12PZ,PZ,PZ,1.0,0.5094,1,0.5094,0.5094
,,STRPULIZ - ,,,,,,,,3.7201,3.7201
,,,PUL.STR.00036,PANNO PER PAVIMENTI,PZ,PZ,1.0,1.9254,2,3.7201,3.7201
,,,,,,,,,TOTALE,120.3303,120.3303
