Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
IMBARCAZ,,,,,,,,,,63.9985,63.9985
,BEVERAGE - ,,,,,,,,,56.8597,56.8597
,,ACQUA - ,,,,,,,,39.3597,39.3597
,,,BEV.ACQ.00009,ACQUA FRIZZANTE SVEVA 50CLX24PZ,BT,BT,1.0,0.1229,120,19.6795,19.6795
,,,BEV.ACQ.00010,ACQUA NATURALE LILIA 50CLX24PZ,BT,BT,1.0,0.164,120,19.6802,19.6802
,,BIRRE - ,,,,,,,,17.5,17.5
,,,BEV.BIR.00003,BIRRA NASTRO AZZURRO 33CL X 24 LATTINA,BT,BT,1.0,0.6458,24,17.5,17.5
,PULIZIA - ,,,,,,,,,7.1388,7.1388
,,DETERGEN - ,,,,,,,,7.1388,7.1388
,,,PUL.DET.00009,SGRASSATORE CHANTECLAIR 600MLX12PZ,PZ,PZ,1.0,2.503,3,6.12,6.12
,,,PUL.DET.00028,SYD WC GEL 750MLX12PZ,PZ,PZ,1.0,0.5094,2,1.0188,1.0188
,,,,,,,,,TOTALE,63.9985,63.9985
