Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
IMBARCAZ,,,,,,,,,,101.2033,101.2033
,BEVERAGE - ,,,,,,,,,80.0327,80.0327
,,ACQUA - ,,,,,,,,51.1685,51.1685
,,,BEV.ACQ.00009,ACQUA FRIZZANTE SVEVA 50CLX24PZ,BT,BT,1.0,0.1229,144,23.6161,23.6161
,,,BEV.ACQ.00010,ACQUA NATURALE LILIA 50CLX24PZ,BT,BT,1.0,0.164,168,27.5524,27.5524
,,APERITIV - ,,,,,,,,10.9442,10.9442
,,,BEV.APE.00003,APEROL,LT,CL,100.0,10.9442,1,10.9442,10.9442
,,BIRRE - ,,,,,,,,17.92,17.92
,,,BEV.BIR.00003,BIRRA NASTRO AZZURRO 33CL X 24 LATTINA,BT,BT,1.0,0.6458,24,17.92,17.92
,PULIZIA - ,,,,,,,,,7.6298,7.6298
,,DETERGEN - ,,,,,,,,7.6298,7.6298
,,,PUL.DET.00005,DETERGENTE SYD VETRI 750MLX12PZ,PZ,PZ,1.0,2.3411,1,1.6768,1.6768
,,,PUL.DET.00009,SGRASSATORE CHANTECLAIR 600MLX12PZ,PZ,PZ,1.0,2.503,2,4.08,4.08
,,,PUL.DET.00018,ANTICALCARE VIAKAL 470MLX10PZ,PZ,PZ,1.0,1.3636,1,1.3636,1.3636
,,,PUL.DET.00028,SYD WC GEL 750MLX12PZ,PZ,PZ,1.0,0.5094,1,0.5094,0.5094
,VARIE - ,,,,,,,,,13.5408,13.5408
,,CARTBUSA - ,,,,,,,,13.5408,13.5408
,,,VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,PZ,PZ,1.0,0.2491,24,5.9178,5.9178
,,,VAR.CAR.00015,BOBINA CARTA STRONG 800 STRAPPIX10,PZ,PZ,1.0,3.7585,2,7.623,7.623
,,,,,,,,,TOTALE,101.2033,101.2033
