Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
IMBARCAZ,,,,,,,,,,28.7721,28.7721
,BEVERAGE - ,,,,,,,,,23.3721,23.3721
,,ACQUA - ,,,,,,,,7.8721,7.8721
,,,BEV.ACQ.00009,ACQUA FRIZZANTE SVEVA 50CLX24PZ,BT,BT,1.0,0.1229,48,7.8721,7.8721
,,BIRRE - ,,,,,,,,15.5,15.5
,,,BEV.BIR.00003,BIRRA NASTRO AZZURRO 33CL X 24 LATTINA,BT,BT,1.0,0.6458,24,15.5,15.5
,VARIE - ,,,,,,,,,5.4,5.4
,,MONOUSO - ,,,,,,,,5.4,5.4
,,,VAR.MON.00002,TOVAGLIOLI CARTA BIANCO 33X33(36CFX75PZ),CF,CF,1.0,0.85,4,3.4,3.4
,,,VAR.MON.00027,BICCHIERI PLASTICA BIANCHI 8CL 1CFX100PZ,CF,CF,1.0,1.0,2,2.0,2.0
,,,,,,,,,TOTALE,28.7721,28.7721
