Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
MANHOTEL,,,,,,,,,,4162.5572,4162.5572
,ATTREZZ - ,,,,,,,,,4.92,4.92
,,AT.HSK - ,,,,,,,,4.92,4.92
,,,ATT.AHK.00001,FILO STENDIBIANCHERIA MM5,MT,MT,1.0,0.492,10,4.92,4.92
,MANUTENZ - ,,,,,,,,,4147.3872,4147.3872
,,MAT.VARI - ,,,,,,,,228.3723,228.3723
,,,MAN.MAV.00008,ASCIUGACAPELLI DA PARETE 2000W BEPER,PZ,PZ,1.0,24.2132,8,193.7053,193.7053
,,,MAN.MAV.00009,DIAMANTE TAGLIAVETRO,PZ,PZ,1.0,5.307,1,5.307,5.307
,,,MAN.MAV.00010,SPRAY LUBRIFICANTE 400ML,PZ,PZ,1.0,4.1,1,4.1,4.1
,,,MAN.MAV.00011,LANA D'ACCIAIO PER VERNICE,KG,KG,1.0,8.7,0.5,4.35,4.35
,,,MAN.MAV.00012,MANIGLIA PER PORTA CON ROSETTA,PZ,PZ,1.0,11.89,1,11.89,11.89
,,,MAN.MAV.00013,SERRATURA OTTONATA,PZ,PZ,1.0,24.59,1,9.02,9.02
,,MATEDILE - ,,,,,,,,381.682,381.682
,,,MAN.MED.00002,RETE TIPO ZANZARIERA 18X16,MT,MT,1.0,1.64,3,4.92,4.92
,,,MAN.MED.00003,ASSE DI LEGNO LISTELLO 1CM X 2MT,PZ,PZ,1.0,2.46,2,4.92,4.92
,,,MAN.MED.00004,STUCCO GRIGIO KG 5,PZ,PZ,1.0,5.307,1,5.307,5.307
,,,MAN.MED.00005,INTONACO RASANTE KG.25,PZ,PZ,1.0,22.74,2,45.48,45.48
,,,MAN.MED.00006,COLLANTE PER PAVIMENTI KG.25,PZ,PZ,1.0,13.41,1,12.825,12.825
,,,MAN.MED.00007,RULLO PER PITTURA A PELO RASO,PZ,PZ,1.0,5.32,3,14.76,14.76
,,,MAN.MED.00008,MATTONELLE BIANCHE 20X20,CF,CF,1.0,15.345,4,61.38,61.38
,,,MAN.MED.00009,STUCCO X MARMI KERAC 5KG,PZ,PZ,1.0,8.55,1,8.55,8.55
,,,MAN.MED.00010,CEMENTO PRONTO PRESA 25KG,PZ,PZ,1.0,5.0629,31,156.95,156.95
,,,MAN.MED.00011,"PITTURA ANTIMUFFA AQUABEL 0,70L",PZ,PZ,1.0,9.02,1,9.02,9.02
,,,MAN.MED.00012,ISOLATE ALCAFIX 1LT,PZ,PZ,1.0,5.73,1,5.73,5.73
,,,MAN.MED.00013,COLLANTE BIANCO X PIASTRELLE 25KG,PZ,PZ,1.0,13.65,2,26.6,26.6
,,,MAN.MED.00014,MATASSA IN FERRO,PZ,PZ,1.0,0.835,2,1.67,1.67
,,,MAN.MED.00015,FISCHER 6MM,PZ,PZ,1.0,0.23,100,11.48,11.48
,,,MAN.MED.00016,VITI A FARFALLA,PZ,PZ,1.0,0.696,5,3.48,3.48
,,,VAR.MED.00001,RETE METALLICA 12X12,MT,MT,1.0,2.87,3,8.61,8.61
,,MATELETT - ,,,,,,,,460.437,460.437
,,,MAN.ELE.00001,SPINA CORNER 90° NERA,PZ,PZ,1.0,1.2349,10,12.349,12.349
,,,MAN.ELE.00002,SPINA CORNER 90° BIANCA,PZ,PZ,1.0,1.2349,40,49.396,49.396
,,,MAN.ELE.00003,SCATOLA PER CANALINA 3 POSTI,PZ,PZ,1.0,0.7611,9,6.8499,6.8499
,,,MAN.ELE.00004,SUPPORTO PER PRESE MATIX,PZ,PZ,1.0,0.9222,9,8.2998,8.2998
,,,MAN.ELE.00005,PRESA SCHUKO MATIX BIANCA,PZ,PZ,1.0,6.5773,13,85.5049,85.5049
,,,MAN.ELE.00006,PRESA PICCOLA MATIX BIANCA 10 A,PZ,PZ,1.0,3.7471,9,33.7239,33.7239
,,,MAN.ELE.00007,PLACCA PER SUPPORTI BIANCA MATIX 3 P,PZ,PZ,1.0,1.7649,9,15.8841,15.8841
,,,MAN.ELE.00008,NASTRO ISOLANTE NERO 19X25,PZ,PZ,1.0,1.23,2,1.54,1.54
,,,MAN.ELE.00009,CAVO COASSIALE TV 5MMX100MT,MT,MT,1.0,0.29,100,29.0,29.0
,,,MAN.ELE.00010,SPINOTTO SATELLITARE FEMMINA,PZ,PZ,1.0,0.958,10,9.58,9.58
,,,MAN.ELE.00011,GIUNTACAVO SPINOTTO SATELLITARE,PZ,PZ,1.0,0.3708,20,7.416,7.416
,,,MAN.ELE.00012,COPERCHIO CASSETTA TONDA D65,PZ,PZ,1.0,0.7539,10,7.539,7.539
,,,MAN.ELE.00013,FASCETTE ELETTRICHE 280X3 100PZ,CF,CF,1.0,0.4925,2,11.8854,11.8854
,,,MAN.ELE.00014,"FILO UNIOLARE 1,5 ML BLU 100MT",CF,CF,1.0,14.99,1,14.99,14.99
,,,MAN.ELE.00015,FILO UNIPOLARE 15MM NERO 100MT,CF,CF,1.0,14.99,1,14.99,14.99
,,,MAN.ELE.00016,FILO UNIPOLARE 15MM ROSSO 100M,CF,CF,1.0,14.99,1,14.99,14.99
,,,MAN.ELE.00017,ASPIRATORE WC MINI STYLE D.100,PZ,PZ,1.0,20.5756,4,82.3024,82.3024
,,,MAN.ELE.00018,"LAMPADA  ALOGENA R76 160W LINEARE 11,7CM",PZ,PZ,1.0,1.75,10,17.5,17.5
,,,MAN.ELE.00019,TUBO RIGIDO GRIGIO PER TUBAZIONI EST.3MT,PZ,PZ,1.0,1.7418,2,3.4836,3.4836
,,,MAN.ELE.00020,LAMPADA LED GU10 7W 3K,PZ,PZ,1.0,2.7883,10,27.883,27.883
,,,MAN.ELE.00043,LAMPADA LED GOCCIA 12W E27 3K,PZ,PZ,1.0,2.05,1,2.05,2.05
,,,MAN.ELE.00044,LAMPADA LED 9W E27 3K,PZ,PZ,1.0,3.28,1,3.28,3.28
,,MATIDRAU - ,,,,,,,,176.26,176.26
,,,MAN.IDR.00002,CERNIERE 2 COPRIWATER GLOB PAESTUM CROMO,PZ,PZ,0.0,5.68,1,5.68,5.68
,,,MAN.MID.00005,GUARNIZIONE PER BOX DOCCIA,PZ,PZ,1.0,6.6,10,66.0,66.0
,,,MAN.MID.00006,GUARNIZIONE 90GRADI PER BOX DOCCIA,PZ,PZ,1.0,6.2,6,37.2,37.2
,,,MAN.MID.00008,GUARNIZIONI PER DOCCIA CON CALAMITA,PZ,PZ,1.0,12.0,4,48.0,48.0
,,,MAN.MID.00009,TUBO DI SCARICO 2 BICCHIERI 50/100,PZ,PZ,1.0,3.38,1,3.38,3.38
,,,MAN.MID.00011,DOCCINO DOCCIA CROMATO,PZ,PZ,1.0,16.0,1,16.0,16.0
,,STRMAN - ,,,,,,,,36.8359,36.8359
,,,MAN.SMA.00001,DUPLICATO CHIAVI,PZ,PZ,1.0,1.23,5,4.05,4.05
,,,MAN.SMA.00002,PENNELLO PER PITTURA,PZ,PZ,1.0,2.87,1,5.7377,5.7377
,,,MAN.SMA.00003,MORSETTO PER CAVI,PZ,PZ,1.0,0.2459,10,2.459,2.459
,,,MAN.SMA.00004,PELLICOLA IN PLASTICA ADESIVA CM 45,MT,MT,1.0,2.0491,12,24.5892,24.5892
,,VERNPITT - ,,,,,,,,2863.8,2863.8
,,,MAN.VER.00001,PITTURA LAVABILE BIANCA SILOX 14 LT,PZ,PZ,1.0,138.6,3,415.8,415.8
,,,MAN.VER.00002,PITTURA PRIMER SILOX 14 LT,PZ,PZ,1.0,133.0,1,133.0,133.0
,,,MAN.VER.00003,PRIMER FISSATIVO PER GUAINA LIQ 10 LT,PZ,PZ,1.0,105.0,3,315.0,315.0
,,,MAN.VER.00004,GUAINA LIQUIDA ICOPER BIANCO 20 KG,PZ,PZ,1.0,100.0,20,2000.0,2000.0
,VARIE - ,,,,,,,,,10.25,10.25
,,MATEDILE - ,,,,,,,,10.25,10.25
,,,VAR.MAV.00001,COLLA MILLECHIODI CARTUCCIA GR 400,PZ,PZ,1.0,10.25,1,10.25,10.25
,,,,,,,,,TOTALE,4162.5572,4162.5572
