Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
MANHOTEL,,,,,,,,,,1217.0791,1217.0791
,MANUTENZ - ,,,,,,,,,1211.62,1211.62
,,MAT.VARI - ,,,,,,,,87.2,87.2
,,,MAN.MAV.00015,LUCCHETTI RETTANGOLARI,PZ,PZ,1.0,6.58,4,21.22,21.22
,,,MAN.MAV.00016,ATTACCAGLIA OTTONATA,PZ,PZ,1.0,0.016,10,0.16,0.16
,,,MAN.MAV.00017,CHIAVE DIRITTA OTTONATA,PZ,PZ,1.0,0.82,2,1.64,1.64
,,,MAN.MAV.00018,SVERNICIATORE 750ML,PZ,PZ,1.0,6.15,2,12.3,12.3
,,,MAN.MAV.00019,FILO PIATTINA 1MM,PZ,PZ,1.0,4.92,1,4.92,4.92
,,,MAN.MAV.00021,BULLONI,PZ,PZ,1.0,0.0533,40,2.13,2.13
,,,MAN.MAV.00022,PERNI 10MM,PZ,PZ,1.0,0.369,20,7.38,7.38
,,,MAN.MAV.00023,BOBINA FILO DI FERRO,PZ,PZ,1.0,0.83,1,0.83,0.83
,,,MAN.MAV.00025,RIDUTTORI PRESSIONE GAS,PZ,PZ,1.0,7.5,3,22.5,22.5
,,,MAN.MAV.00026,PUNTA HSS 3MM,PZ,PZ,1.0,0.66,1,0.66,0.66
,,,MAN.MAV.00027,PUNTA HSS 4MM,PZ,PZ,1.0,0.98,1,0.98,0.98
,,,MAN.MAV.00028,"PUNTA HSS 4,5MM",PZ,PZ,1.0,0.66,1,0.66,0.66
,,,MAN.MAV.00029,"PUNTA HSS 3,5MM",PZ,PZ,1.0,0.81,1,0.81,0.81
,,,MAN.MAV.00030,PUNTA HSS 10MM,PZ,PZ,1.0,1.63,1,1.63,1.63
,,,MAN.MAV.00031,"PUNTA HSS 5,5MM",PZ,PZ,1.0,0.73,1,0.73,0.73
,,,MAN.MAV.00032,PUNTA HSS 6MM,PZ,PZ,1.0,1.47,1,1.47,1.47
,,,MAN.MAV.00033,PUNTA HSS 8MM,PZ,PZ,1.0,2.04,1,2.04,2.04
,,,MAN.MAV.00034,PUNTA HSS 5MM,PZ,PZ,1.0,1.22,1,1.22,1.22
,,,MAN.MAV.00035,PUNTA HSS 9MM,PZ,PZ,1.0,2.45,1,2.45,2.45
,,,MAN.MAV.00036,"PUNTA HSS 6,5MM",PZ,PZ,1.0,1.47,1,1.47,1.47
,,MATEDILE - ,,,,,,,,1035.52,1035.52
,,,MAN.MED.00017,VITI A RAMPINO 18X60,PZ,PZ,1.0,0.696,30,20.88,20.88
,,,MAN.MED.00018,BOMBOLETTA POLIURETANO,PZ,PZ,1.0,4.92,3,14.76,14.76
,,,MAN.MED.00019,SILICONE,PZ,PZ,1.0,2.46,1,2.46,2.46
,,,MAN.MED.00020,INSERTO 25MM ATTACCO 1/4,PZ,PZ,1.0,1.475,8,11.8,11.8
,,,MAN.MED.00021,TAVOLE  ABETE 50X50,MT,MT,1.0,120.0,5,600.0,600.0
,,,MAN.MED.00022,MURALI ABETE 5X5X400,PZ,PZ,1.0,2.5,3,7.5,7.5
,,,MAN.MED.00023,COLLANTE KOLBLOK 25KG,PZ,PZ,1.0,6.78,4,27.12,27.12
