Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
MANHOTEL,,,,,,,,,,397.6129,397.6129
,MANUTENZ - ,,,,,,,,,332.7429,332.7429
,,MAT.VARI - ,,,,,,,,58.86,58.86
,,,MAN.MAV.00026,PUNTA HSS 3MM,PZ,PZ,1.0,0.66,1,0.66,0.66
,,,MAN.MAV.00037,MOSCHETTONE ACCIAIO 80MM,PZ,PZ,1.0,2.46,5,12.3,12.3
,,,MAN.MAV.00039,"RONDELLA PIANA 6MMX1,5GR",PZ,PZ,1.0,0.0164,50,0.82,0.82
,,,MAN.MAV.00041,FERMAMOQUETTE ARGENTO 200CM,PZ,PZ,1.0,9.016,5,45.08,45.08
,,MATEDILE - ,,,,,,,,163.38,163.38
,,,MAN.MED.00006,COLLANTE PER PAVIMENTI KG.25,PZ,PZ,1.0,13.41,3,40.23,40.23
,,,MAN.MED.00013,COLLANTE BIANCO X PIASTRELLE 25KG,PZ,PZ,1.0,13.65,2,27.3,27.3
,,,MAN.MED.00015,FISCHER 6MM,PZ,PZ,1.0,0.23,5,4.1,4.1
,,,MAN.MED.00037,"VITI PER LEGNO 4,5X25MM",PZ,PZ,1.0,0.041,30,1.23,1.23
,,,MAN.MED.00038,"VITI PER LEGNO 4,5X40MM",PZ,PZ,1.0,0.0573,30,1.72,1.72
,,,MAN.MED.00039,"VITI PER LEGNO 4,5X20MM",PZ,PZ,1.0,0.0327,30,0.98,0.98
,,,MAN.MED.00040,VITI PER LEGNO 3X30MM INOX,PZ,PZ,1.0,0.0468,80,3.74,3.74
,,,MAN.MED.00041,CERCAFASE MM 3X140,PZ,PZ,1.0,0.82,1,0.82,0.82
,,,MAN.MED.00042,BARRA FILETTATA MM8,PZ,PZ,1.0,4.09,1,4.09,4.09
,,,MAN.MED.00043,RETE X MURATURA,MT,MT,1.0,1.0,50,50.0,50.0
,,,MAN.MED.00044,VITI 18MM,PZ,PZ,1.0,1.2692,12,15.23,15.23
,,,MAN.MED.00045,FRATTONE MORBIDO 10X24,PZ,PZ,1.0,4.92,1,4.92,4.92
,,,MAN.MED.00046,FRATTONE MORBIDO 14X21,PZ,PZ,1.0,9.02,1,9.02,9.02
,,MATELETT - ,,,,,,,,1.23,1.23
,,,MAN.ELE.00008,NASTRO ISOLANTE NERO 19X25,PZ,PZ,1.0,1.23,1,1.23,1.23
,,MATIDRAU - ,,,,,,,,88.01,88.01
,,,MAN.MID.00014,TUBO DI SCARICO A CURVA 50/30°,PZ,PZ,1.0,9.84,1,9.84,9.84
,,,MAN.MID.00017,CURVA TERMINALE WC,PZ,PZ,1.0,0.63,1,0.63,0.63
,,,MAN.MID.00018,"GUARNIZIONE 1/2""",PZ,PZ,1.0,0.02,30,0.6,0.6
,,,MAN.MID.00019,"NASTRO TEFLON 15 X 1/2""",PZ,PZ,1.0,0.49,5,2.45,2.45
,,,MAN.MID.00030,"GUARNIZIONE 3/4""",PZ,PZ,1.0,0.03,30,0.9,0.9
,,,MAN.MID.00031,COLLARE PER SCARICO 120MM,PZ,PZ,1.0,1.31,1,1.31,1.31
,,,MAN.MID.00032,TAPPO IN PP 40MM,PZ,PZ,1.0,0.68,2,1.36,1.36
,,,MAN.MID.00033,SOFFIONE IN ACCIAIO 200MM,PZ,PZ,1.0,16.395,2,32.79,32.79
,,,MAN.MID.00034,TAPPO ESPANSIONE DA 100,PZ,PZ,1.0,2.87,3,14.76,14.76
,,,MAN.MID.00035,CURVA DIAM. 110 A 30°,PZ,PZ,1.0,2.87,1,2.87,2.87
,,,MAN.MID.00036,CURVA DIAM.110 A 45°,PZ,PZ,1.0,2.87,1,2.87,2.87
,,,MAN.MID.00038,CURVA WC DIAM. 110 A 90°,PZ,PZ,1.0,9.84,1,9.84,9.84
,,,MAN.MID.00039,TUBO IN PP 110X50 CM,PZ,PZ,1.0,5.33,1,5.33,5.33
,,,MAN.MID.00040,SUPPORTO GUARNIZIONE GEBERIT,PZ,PZ,1.0,2.46,1,2.46,2.46
,,STRMAN - ,,,,,,,,21.2629,21.2629
,,,MAN.SMA.00001,DUPLICATO CHIAVI,PZ,PZ,1.0,1.23,4,6.4429,6.4429
,,,MAN.SMA.00006,TUTA USA E GETTA BIANCA XL,PZ,PZ,1.0,2.05,2,4.1,4.1
,,,MAN.SMA.00007,TUTA USAE GETTA BLU L,PZ,PZ,1.0,2.05,1,2.05,2.05
,,,MAN.SMA.00009,SALDATUTTO PATTEX 28GR,PZ,PZ,1.0,8.67,1,8.67,8.67
,VARIE - ,,,,,,,,,64.87,64.87
,,RICECONS - ,,,,,,,,64.87,64.87
,,,VAR.RIC.00012,RICARICA GAS PER ACCENDINI,PZ,PZ,1.0,1.23,1,1.23,1.23
,,,VAR.RIC.00013,CARTUCCE X MISCELATORE,PZ,PZ,1.0,31.82,2,63.64,63.64
,,,,,,,,,TOTALE,397.6129,397.6129
