Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
MANHOTEL,,,,,,,,,,365.4145,365.4145
,MANUTENZ - ,,,,,,,,,357.5,357.5
,,MAT.VARI - ,,,,,,,,9.78,9.78
,,,MAN.MAV.00015,LUCCHETTI RETTANGOLARI,PZ,PZ,1.0,6.58,1,6.58,6.58
,,,MAN.MAV.00040,MOSCHETTONE A VITE 120 MM,PZ,PZ,1.0,0.82,2,1.64,1.64
,,,MAN.MAV.00042,INOX REDANCIA MM 8 A2,PZ,PZ,1.0,0.41,1,0.41,0.41
,,,MAN.MAV.00043,RIVETTO ALLUMINIO 4X12,PZ,PZ,1.0,0.0165,20,0.33,0.33
,,,MAN.MAV.00044,"RIVETTO ALLUMINIO 4,8X12",PZ,PZ,1.0,0.0205,40,0.82,0.82
,,MATEDILE - ,,,,,,,,37.95,37.95
,,,MAN.MED.00047,SILICONE CARTUCCIA ALTA TEMPERATURA,PZ,PZ,1.0,10.54,1,10.54,10.54
,,,MAN.MED.00048,INTONACO PLANITOP 210,PZ,PZ,1.0,9.38,1,9.38,9.38
,,,MAN.MED.00050,COLLANTE TANGIT GR.125,PZ,PZ,1.0,7.725,2,15.45,15.45
,,,MAN.MED.00051,COLLA TERMOINDURENTE MM 11,PZ,PZ,1.0,8.19,1,2.58,2.58
,,MATELETT - ,,,,,,,,48.11,48.11
,,,MAN.ELE.00013,FASCETTE ELETTRICHE 280X3 100PZ,CF,CF,1.0,0.4925,1,3.03,3.03
,,,MAN.ELE.00047,GRUPPO DI RIEMPIMENTO 3160K,PZ,PZ,1.0,45.08,1,45.08,45.08
,,MATIDRAU - ,,,,,,,,237.4,237.4
,,,MAN.MID.00041,TUBO AUMENTO 125/160 UNI 302,PZ,PZ,1.0,5.79,1,5.79,5.79
,,,MAN.MID.00042,TUBO 125 UNI 302,PZ,PZ,1.0,9.34,2,18.68,18.68
,,,MAN.MID.00043,TUBO 100 UNI 302,PZ,PZ,1.0,5.51,7,38.57,38.57
,,,MAN.MID.00044,TUBO RIDUZIONE 125/100 UNI 302,PZ,PZ,1.0,2.72,4,10.88,10.88
,,,MAN.MID.00045,TAPPO 100 UNI 302,PZ,PZ,1.0,2.88,3,8.64,8.64
,,,MAN.MID.00046,TUBO 100/1 UNI 302,PZ,PZ,1.0,5.33,4,21.32,21.32
,,,MAN.MID.00047,TUBO 125/1 UNI 302,PZ,PZ,1.0,6.79,1,6.79,6.79
,,,MAN.MID.00048,TUBO AUMENTO 100/125 UNI 302,PZ,PZ,1.0,3.32,2,6.64,6.64
,,,MAN.MID.00049,TUBO CURVA 100 UNI 302,PZ,PZ,1.0,2.1025,4,8.41,8.41
,,,MAN.MID.00050,TUBO 50/2 UNI 302,PZ,PZ,1.0,9.86,3,29.58,29.58
,,,MAN.MID.00051,TUBO 50/1 UNI 302,PZ,PZ,1.0,4.4,5,22.0,22.0
,,,MAN.MID.00052,TAPPO A VITE 50,PZ,PZ,1.0,2.0,10,20.0,20.0
,,,MAN.MID.00053,TUBO AUMENTO 50/63 UNI 302,PZ,PZ,1.0,2.0,10,20.0,20.0
,,,MAN.MID.00054,TAPPO 200 UNI 302,PZ,PZ,1.0,8.1,1,8.1,8.1
,,,MAN.MID.00055,TUBO RIDUZIONE 200/125 UNI 302,PZ,PZ,1.0,12.0,1,12.0,12.0
,,STRMAN - ,,,,,,,,24.26,24.26
,,,MAN.SMA.00008,CAZZUOLA,PZ,PZ,1.0,12.13,2,24.26,24.26
,PULIZIA - ,,,,,,,,,7.9145,7.9145
,,DETERGEN - ,,,,,,,,5.04,5.04
,,,PUL.DET.00009,SGRASSATORE CHANTECLAIR 600MLX12PZ,PZ,PZ,1.0,2.503,1,2.04,2.04
,,,PUL.DET.00047,ANTICALCARE ATA VIA CALCARE,PZ,PZ,1.0,3.0,1,3.0,3.0
,,STRPULIZ - ,,,,,,,,2.8745,2.8745
,,,PUL.STR.00031,SCOPA VILEDA,PZ,PZ,1.0,2.9996,1,2.8745,2.8745
,,,,,,,,,TOTALE,365.4145,365.4145
