Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
MANHOTEL,,,,,,,,,,117.4636,117.4636
,MANUTENZ - ,,,,,,,,,103.1814,103.1814
,,GIARDINA - ,,,,,,,,14.73,14.73
,,,MAN.MPG.00003,FIORERA IN FERRO 60CM,PZ,PZ,1.0,5.74,1,5.74,5.74
,,,MAN.MPG.00004,CASSETTA DA BALCONE CM 60X20X16,PZ,PZ,1.0,5.63,1,5.63,5.63
,,,MAN.MPG.00005,TERRICCIO LT 10,PZ,PZ,1.0,1.44,1,1.44,1.44
,,,MAN.MPG.00006,CONCIME GRANULARE KG 5,KG,KG,1.0,0.384,5,1.92,1.92
,,MAT.VARI - ,,,,,,,,6.1,6.1
,,,MAN.MAV.00046,"FASCETTE 4,5X360",CF,CF,1.0,2.295,1,6.1,6.1
,,MATEDILE - ,,,,,,,,2.3,2.3
,,,MAN.MED.00015,FISCHER 6MM,PZ,PZ,1.0,0.23,10,2.3,2.3
,,MATELETT - ,,,,,,,,8.7413,8.7413
,,,MAN.ELE.00024,LAMPADA LED BISPINA 5W G9 3K,PZ,PZ,1.0,1.2488,7,8.7413,8.7413
,,MATIDRAU - ,,,,,,,,36.88,36.88
,,,MAN.MID.00016,DISINCROSTANTE LIQ CALDAIA EURO 801 10KG,PZ,PZ,1.0,13.11,2,26.22,26.22
,,,MAN.MID.00056,MANICOTTO IN OTTONE 20X20,PZ,PZ,1.0,5.33,2,10.66,10.66
,,VERNPITT - ,,,,,,,,34.4301,34.4301
,,,MAN.VER.00005,SMALTO BIANCO IDROREFLEX 750ML,PZ,PZ,1.0,11.4767,3,34.4301,34.4301
,PULIZIA - ,,,,,,,,,2.7272,2.7272
,,DETERGEN - ,,,,,,,,2.7272,2.7272
,,,PUL.DET.00018,ANTICALCARE VIAKAL 470MLX10PZ,PZ,PZ,1.0,1.3636,2,2.7272,2.7272
,VARIE - ,,,,,,,,,11.555,11.555
,,CANPERS - ,,,,,,,,10.0,10.0
,,,VAR.CPE.00012,BIGLIETTINI DA VISITA DIPENDENTI,PZ,PZ,1.0,0.1,100,10.0,10.0
,,RICECONS - ,,,,,,,,1.555,1.555
,,,VAR.RIC.00010,BOMBOLE GPL,PZ,PZ,1.0,1.555,1,1.555,1.555
,,,,,,,,,TOTALE,117.4636,117.4636
