Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
MANHOTEL,,,,,,,,,,278.2348,278.2348
,MANUTENZ - ,,,,,,,,,270.8548,270.8548
,,MAT.VARI - ,,,,,,,,64.76,64.76
,,,MAN.MAV.00013,SERRATURA OTTONATA,PZ,PZ,1.0,24.59,1,24.59,24.59
,,,MAN.MAV.00046,"FASCETTE 4,5X360",CF,CF,1.0,2.295,2,4.59,4.59
,,,MAN.MAV.00047,SPRAY BIANCO LUCIDO,PZ,PZ,1.0,2.7033,3,8.11,8.11
,,,MAN.MAV.00050,ROTOLO CARTOE ML 45,PZ,PZ,1.0,6.56,1,6.56,6.56
,,,MAN.MAV.00051,MASCHERA PER ESTERNI,PZ,PZ,1.0,6.97,3,20.91,20.91
,,MATEDILE - ,,,,,,,,139.74,139.74
,,,MAN.MED.00007,RULLO PER PITTURA A PELO RASO,PZ,PZ,1.0,5.32,1,5.32,5.32
,,,MAN.MED.00019,SILICONE,PZ,PZ,1.0,2.46,2,4.92,4.92
,,,MAN.MED.00051,COLLA TERMOINDURENTE MM 11,PZ,PZ,1.0,8.19,1,8.19,8.19
,,,MAN.MED.00055,PITTURA BIANCA LT.14,PZ,PZ,1.0,56.555,2,113.11,113.11
,,,MAN.MED.00056,ISOLANTE PER PAVIMENTI,PZ,PZ,1.0,4.1,2,8.2,8.2
,,MATELETT - ,,,,,,,,29.1328,29.1328
,,,MAN.ELE.00013,FASCETTE ELETTRICHE 280X3 100PZ,CF,CF,1.0,0.4925,4,1.97,1.97
,,,MAN.ELE.00024,LAMPADA LED BISPINA 5W G9 3K,PZ,PZ,1.0,1.2488,6,7.4928,7.4928
,,,MAN.ELE.00054,LAMPADA ALOGENA LINEARE 120W,PZ,PZ,1.0,1.6392,12,19.67,19.67
,,MATIDRAU - ,,,,,,,,8.61,8.61
,,,MAN.MID.00034,TAPPO ESPANSIONE DA 100,PZ,PZ,1.0,2.87,3,8.61,8.61
,,STRMAN - ,,,,,,,,28.612,28.612
,,,MAN.SMA.00001,DUPLICATO CHIAVI,PZ,PZ,1.0,1.23,21,20.002,20.002
,,,MAN.SMA.00002,PENNELLO PER PITTURA,PZ,PZ,1.0,2.87,3,8.61,8.61
,PULIZIA - ,,,,,,,,,7.38,7.38
,,DETERGEN - ,,,,,,,,7.38,7.38
,,,PUL.DET.00033,DISGORGANTE NO ACID MELT 1LT,PZ,PZ,1.0,3.895,2,7.38,7.38
,,,,,,,,,TOTALE,278.2348,278.2348
