Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
MANHOTEL,,,,,,,,,,42.4216,42.4216
,MANUTENZ - ,,,,,,,,,27.7366,27.7366
,,MATELETT - ,,,,,,,,22.4066,22.4066
,,,MAN.ELE.00008,NASTRO ISOLANTE NERO 19X25,PZ,PZ,1.0,1.23,3,3.69,3.69
,,,MAN.ELE.00024,LAMPADA LED BISPINA 5W G9 3K,PZ,PZ,1.0,1.2488,7,8.7416,8.7416
,,,MAN.ELE.00050,"LAMPADINA SFERA 8,5W E27 3000K",PZ,PZ,1.0,0.819,1,0.819,0.819
,,,MAN.ELE.00051,"LAMPADINA LED 5,5W E14 3000K",PZ,PZ,1.0,1.526,6,9.156,9.156
,,MATIDRAU - ,,,,,,,,4.1,4.1
,,,MAN.MID.00060,SBLOCCANTE AREXO ML 400,PZ,PZ,1.0,4.1,1,4.1,4.1
,,STRMAN - ,,,,,,,,1.23,1.23
,,,MAN.SMA.00001,DUPLICATO CHIAVI,PZ,PZ,1.0,1.23,1,1.23,1.23
,PULIZIA - ,,,,,,,,,14.685,14.685
,,DETERGEN - ,,,,,,,,14.685,14.685
,,,PUL.DET.00033,DISGORGANTE NO ACID MELT 1LT,PZ,PZ,1.0,3.895,3,11.685,11.685
,,,PUL.DET.00047,ANTICALCARE ATA VIA CALCARE,PZ,PZ,1.0,3.0,1,3.0,3.0
,,,,,,,,,TOTALE,42.4216,42.4216
