Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
MANHOTEL,,,,,,,,,,42.429,42.429
,MANUTENZ - ,,,,,,,,,4.92,4.92
,,MATEDILE - ,,,,,,,,2.46,2.46
,,,MAN.MED.00019,SILICONE,PZ,PZ,1.0,2.46,1,2.46,2.46
,,STRMAN - ,,,,,,,,2.46,2.46
,,,MAN.SMA.00015,DUPLICATO CHIAVI IN OTTONE,PZ,PZ,1.0,1.23,2,2.46,2.46
,PULIZIA - ,,,,,,,,,37.509,37.509
,,DETERGEN - ,,,,,,,,37.509,37.509
,,,PUL.DET.00009,SGRASSATORE CHANTECLAIR 600MLX12PZ,PZ,PZ,1.0,2.503,3,7.509,7.509
,,,PUL.DET.00047,ANTICALCARE ATA VIA CALCARE,PZ,PZ,1.0,3.0,10,30.0,30.0
,,,,,,,,,TOTALE,42.429,42.429
