Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
RECEP,,,,,,,,,,67.3552,67.3552
,BEVERAGE - ,,,,,,,,,59.8484,59.8484
,,ACQUA - ,,,,,,,,59.8484,59.8484
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,48,5.6697,5.6697
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,360,54.1787,54.1787
,VARIE - ,,,,,,,,,7.5068,7.5068
,,CANCELLE - ,,,,,,,,6.5651,6.5651
,,,VAR.CAN.00003,GRAFFETTE MISURA 4 1CFX100PZ,CF,CF,1.0,0.385,1,0.385,0.385
,,,VAR.CAN.00007,EVIDENZIATORI MULTICOLORE,PZ,PZ,1.0,0.3889,5,1.9446,1.9446
,,,VAR.CAN.00011,POST-IT 76X76MM,PZ,PZ,12.0,1.0631,2,2.1262,2.1262
,,,VAR.CAN.00016,SCOTCH 19MMX33M,PZ,PZ,1.0,0.5179,1,0.5179,0.5179
,,,VAR.CAN.00023,ROTOLI CARTA 57X18 MM POS 1CFX10 PZ,PZ,PZ,0.0,0.3353,3,1.5914,1.5914
,,MONOUSO - ,,,,,,,,0.9417,0.9417
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,2,0.9417,0.9417
,,,,,,,,,TOTALE,67.3552,67.3552
