Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
RECEP,,,,,,,,,,57.1087,57.1087
,BEVERAGE - ,,,,,,,,,47.1495,47.1495
,,ACQUA - ,,,,,,,,47.1495,47.1495
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,48,5.6688,5.6688
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,276,41.4807,41.4807
,VARIE - ,,,,,,,,,9.9592,9.9592
,,CANCELLE - ,,,,,,,,7.9575,7.9575
,,,VAR.CAN.00023,ROTOLI CARTA 57X18 MM POS 1CFX10 PZ,PZ,PZ,0.0,0.3353,15,7.9575,7.9575
,,MONOUSO - ,,,,,,,,2.0017,2.0017
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,3,2.0017,2.0017
,,,,,,,,,TOTALE,57.1087,57.1087
