Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
RECEP,,,,,,,,,,81.6219,81.6219
,BEVERAGE - ,,,,,,,,,46.58,46.58
,,ACQUA - ,,,,,,,,46.58,46.58
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,36,5.1607,5.1607
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,276,41.4193,41.4193
,VARIE - ,,,,,,,,,35.0419,35.0419
,,CANCELLE - ,,,,,,,,27.3311,27.3311
,,,VAR.CAN.00003,GRAFFETTE MISURA 4 1CFX100PZ,CF,CF,1.0,0.385,4,1.54,1.54
,,,VAR.CAN.00011,POST-IT 76X76MM,PZ,PZ,12.0,1.0631,6,6.3786,6.3786
,,,VAR.CAN.00023,ROTOLI CARTA 57X18 MM POS 1CFX10 PZ,PZ,PZ,0.0,0.3353,25,14.5885,14.5885
,,,VAR.CAN.00050,ETICHETTE CHECK-OUT,PZ,PZ,1.0,0.0161,300,4.824,4.824
,,CANPERS - ,,,,,,,,4.3748,4.3748
,,,VAR.CPE.00010,PENNE PERSONALIZZATE BLU,PZ,PZ,1.0,0.4375,10,4.3748,4.3748
,,MONOUSO - ,,,,,,,,3.336,3.336
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,5,3.336,3.336
,,,,,,,,,TOTALE,81.6219,81.6219
