Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
RECEP,,,,,,,,,,205.5645,205.5645
,BEVERAGE - ,,,,,,,,,75.3066,75.3066
,,ACQUA - ,,,,,,,,75.3066,75.3066
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,49,7.1917,7.1917
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,454,68.1149,68.1149
,VARIE - ,,,,,,,,,130.2579,130.2579
,,CANCELLE - ,,,,,,,,45.8314,45.8314
,,,VAR.CAN.00003,GRAFFETTE MISURA 4 1CFX100PZ,CF,CF,1.0,0.385,1,0.385,0.385
,,,VAR.CAN.00007,EVIDENZIATORI MULTICOLORE,PZ,PZ,1.0,0.3889,2,0.7778,0.7778
,,,VAR.CAN.00011,POST-IT 76X76MM,PZ,PZ,12.0,1.0631,1,1.0631,1.0631
,,,VAR.CAN.00012,POST-IT 50X38MM,PZ,PZ,1.0,0.4964,10,4.964,4.964
,,,VAR.CAN.00023,ROTOLI CARTA 57X18 MM POS 1CFX10 PZ,PZ,PZ,0.0,0.3353,65,21.7943,21.7943
,,,VAR.CAN.00028,FALDINE PERFORATE TRASPARENTI 22X30 CM,CF,CF,1.0,1.3943,4,5.5772,5.5772
,,,VAR.CAN.00050,ETICHETTE CHECK-OUT,PZ,PZ,1.0,0.0161,700,11.27,11.27
,,CANPERS - ,,,,,,,,24.0625,24.0625
,,,VAR.CPE.00010,PENNE PERSONALIZZATE BLU,PZ,PZ,1.0,0.4375,55,24.0625,24.0625
,,CARTBUSA - ,,,,,,,,53.82,53.82
,,,VAR.CAR.00013,CARTA A4 500PZX4CF,CF,CF,1.0,3.0515,18,53.82,53.82
,,MONOUSO - ,,,,,,,,6.544,6.544
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,7,5.544,5.544
,,,VAR.MON.00013,BICCHIERI PLASTICA KRISTAL 16CL30CFX100P,CF,CF,1.0,1.0,1,1.0,1.0
,,,,,,,,,TOTALE,205.5645,205.5645
