Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
RECEP,,,,,,,,,,157.7359,157.7359
,BEVERAGE - ,,,,,,,,,77.3562,77.3562
,,ACQUA - ,,,,,,,,77.3562,77.3562
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,119,17.6562,17.6562
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,398,59.7,59.7
,VARIE - ,,,,,,,,,80.3797,80.3797
,,CANCELLE - ,,,,,,,,51.9612,51.9612
,,,VAR.CAN.00012,POST-IT 50X38MM,PZ,PZ,1.0,0.4964,20,9.928,9.928
,,,VAR.CAN.00022,ROTOLI CARTA 80X80 MM RT 1CFX10PZ,PZ,PZ,0.0,1.4,19,26.6,26.6
,,,VAR.CAN.00023,ROTOLI CARTA 57X18 MM POS 1CFX10 PZ,PZ,PZ,0.0,0.3353,13,4.3589,4.3589
,,,VAR.CAN.00028,FALDINE PERFORATE TRASPARENTI 22X30 CM,CF,CF,1.0,1.3943,1,1.3943,1.3943
,,,VAR.CAN.00045,BUSTE BIANCHE AUTOADESIVE 1CFX25PZ,CF,PZ,25.0,1.63,1,1.63,1.63
,,,VAR.CAN.00050,ETICHETTE CHECK-OUT,PZ,PZ,1.0,0.0161,500,8.05,8.05
,,CANPERS - ,,,,,,,,20.0625,20.0625
,,,VAR.CPE.00010,PENNE PERSONALIZZATE BLU,PZ,PZ,1.0,0.4375,23,10.0625,10.0625
,,,VAR.CPE.00012,BIGLIETTINI DA VISITA DIPENDENTI,PZ,PZ,1.0,0.1,100,10.0,10.0
,,CARTBUSA - ,,,,,,,,5.98,5.98
,,,VAR.CAR.00013,CARTA A4 500PZX4CF,CF,CF,1.0,3.0515,2,5.98,5.98
,,MONOUSO - ,,,,,,,,2.376,2.376
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,3,2.376,2.376
,,,,,,,,,TOTALE,157.7359,157.7359
