Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
RECEP,,,,,,,,,,182.9968,182.9968
,BEVERAGE - ,,,,,,,,,66.5424,66.5424
,,ACQUA - ,,,,,,,,66.5424,66.5424
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,36,5.3424,5.3424
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,408,61.2,61.2
,VARIE - ,,,,,,,,,116.4544,116.4544
,,CANCELLE - ,,,,,,,,58.5834,58.5834
,,,VAR.CAN.00011,POST-IT 76X76MM,PZ,PZ,12.0,1.0631,1,1.0631,1.0631
,,,VAR.CAN.00022,ROTOLI CARTA 80X80 MM RT 1CFX10PZ,PZ,PZ,0.0,1.4,16,22.4,22.4
,,,VAR.CAN.00023,ROTOLI CARTA 57X18 MM POS 1CFX10 PZ,PZ,PZ,0.0,0.3353,51,17.1003,17.1003
,,,VAR.CAN.00030,RICARICA X SPILLATRICE 21/4 10CFX2000PZ,CF,CF,1.0,1.92,1,1.92,1.92
,,,VAR.CAN.00050,ETICHETTE CHECK-OUT,PZ,PZ,1.0,0.0161,1000,16.1,16.1
,,CANPERS - ,,,,,,,,16.625,16.625
,,,VAR.CPE.00010,PENNE PERSONALIZZATE BLU,PZ,PZ,1.0,0.4375,38,16.625,16.625
,,CARTBUSA - ,,,,,,,,38.87,38.87
,,,VAR.CAR.00013,CARTA A4 500PZX4CF,CF,CF,1.0,3.0515,13,38.87,38.87
,,MONOUSO - ,,,,,,,,2.376,2.376
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,3,2.376,2.376
,,,,,,,,,TOTALE,182.9968,182.9968
