Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
RECEP,,,,,,,,,,62.73,62.73
,BEVERAGE - ,,,,,,,,,28.7859,28.7859
,,ACQUA - ,,,,,,,,28.7859,28.7859
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,36,5.3859,5.3859
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,156,23.4,23.4
,VARIE - ,,,,,,,,,33.9441,33.9441
,,CANCELLE - ,,,,,,,,15.4972,15.4972
,,,VAR.CAN.00003,GRAFFETTE MISURA 4 1CFX100PZ,CF,CF,1.0,0.385,1,0.385,0.385
,,,VAR.CAN.00007,EVIDENZIATORI MULTICOLORE,PZ,PZ,1.0,0.3889,2,0.7778,0.7778
,,,VAR.CAN.00011,POST-IT 76X76MM,PZ,PZ,12.0,1.0631,1,1.0631,1.0631
,,,VAR.CAN.00018,SCOTCH 50MMX66M,PZ,PZ,1.0,1.4013,1,1.4013,1.4013
,,,VAR.CAN.00022,ROTOLI CARTA 80X80 MM RT 1CFX10PZ,PZ,PZ,0.0,1.4,6,8.4,8.4
,,,VAR.CAN.00030,RICARICA X SPILLATRICE 21/4 10CFX2000PZ,CF,CF,1.0,1.92,1,1.92,1.92
,,,VAR.CAN.00043,FORBICI DA UFFICIO WESTCOTT,PZ,PZ,1.0,1.55,1,1.55,1.55
,,CANPERS - ,,,,,,,,5.25,5.25
,,,VAR.CPE.00010,PENNE PERSONALIZZATE BLU,PZ,PZ,1.0,0.4375,12,5.25,5.25
,,CARTBUSA - ,,,,,,,,12.2062,12.2062
,,,VAR.CAR.00013,CARTA A4 500PZX4CF,CF,CF,1.0,3.0515,4,12.2062,12.2062
,,MONOUSO - ,,,,,,,,0.9907,0.9907
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,2,0.9907,0.9907
,,,,,,,,,TOTALE,62.73,62.73
