Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
RECEP,,,,,,,,,,7.0104,7.0104
,BEVERAGE - ,,,,,,,,,5.3952,5.3952
,,ACQUA - ,,,,,,,,5.3952,5.3952
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,12,1.7952,1.7952
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,24,3.6,3.6
,VARIE - ,,,,,,,,,1.6152,1.6152
,,CANCELLE - ,,,,,,,,-5.8362,-5.8362
,,,VAR.CAN.00007,EVIDENZIATORI MULTICOLORE,PZ,PZ,1.0,0.3889,-4,-1.5556,-1.5556
,,,VAR.CAN.00011,POST-IT 76X76MM,PZ,PZ,12.0,1.0631,1,1.0631,1.0631
,,,VAR.CAN.00018,SCOTCH 50MMX66M,PZ,PZ,1.0,1.4013,1,1.4013,1.4013
,,,VAR.CAN.00022,ROTOLI CARTA 80X80 MM RT 1CFX10PZ,PZ,PZ,0.0,1.4,5,7.0,7.0
,,,VAR.CAN.00030,RICARICA X SPILLATRICE 21/4 10CFX2000PZ,CF,CF,1.0,1.92,3,5.76,5.76
,,,VAR.CAN.00036,RIGHELLI,PZ,PZ,1.0,4.1775,-2,-8.355,-8.355
,,,VAR.CAN.00043,FORBICI DA UFFICIO WESTCOTT,PZ,PZ,1.0,1.55,-2,-3.1,-3.1
,,,VAR.CAN.00050,ETICHETTE CHECK-OUT,PZ,PZ,1.0,0.0161,-500,-8.05,-8.05
,,CANPERS - ,,,,,,,,-5.25,-5.25
,,,VAR.CPE.00010,PENNE PERSONALIZZATE BLU,PZ,PZ,1.0,0.4375,-12,-5.25,-5.25
,,CARTBUSA - ,,,,,,,,12.206,12.206
,,,VAR.CAR.00013,CARTA A4 500PZX4CF,CF,CF,1.0,3.0515,4,12.206,12.206
,,MONOUSO - ,,,,,,,,0.4954,0.4954
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,1,0.4954,0.4954
,,,,,,,,,TOTALE,7.0104,7.0104
