Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
UFFICI,,,,,,,,,,76.22,76.22
,BEVERAGE - ,,,,,,,,,27.5692,27.5692
,,ACQUA - ,,,,,,,,27.5692,27.5692
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,96,11.3376,11.3376
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,108,16.2316,16.2316
,MANUTENZ - ,,,,,,,,,8.6064,8.6064
,,MAT.VARI - ,,,,,,,,8.6064,8.6064
,,,MAN.MVA.00001,NASTRO ADESIVO DA IMBALLAGGIO,PZ,PZ,1.0,2.8688,3,8.6064,8.6064
,VARIE - ,,,,,,,,,40.0444,40.0444
,,CANCELLE - ,,,,,,,,34.7066,34.7066
,,,VAR.CAN.00003,GRAFFETTE MISURA 4 1CFX100PZ,CF,CF,1.0,0.385,1,0.385,0.385
,,,VAR.CAN.00016,SCOTCH 19MMX33M,PZ,PZ,1.0,0.5179,1,0.5179,0.5179
,,,VAR.CAN.00028,FALDINE PERFORATE TRASPARENTI 22X30 CM,CF,CF,1.0,1.3943,3,4.1829,4.1829
,,,VAR.CAN.00030,RICARICA X SPILLATRICE 21/4 10CFX2000PZ,CF,CF,1.0,1.92,4,7.68,7.68
,,,VAR.CAN.00035,CARTELLA PER ARCHIVIO CON LACCI,PZ,PZ,1.0,0.904,3,2.712,2.712
,,,VAR.CAN.00040,SPILLATRICE,PZ,PZ,1.0,6.35,2,12.7,12.7
,,,VAR.CAN.00044,BLOCKNOTES,PZ,PZ,1.0,6.5288,1,6.5288,6.5288
,,MONOUSO - ,,,,,,,,5.3378,5.3378
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,8,5.3378,5.3378
,,,,,,,,,TOTALE,76.22,76.22
