Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
UFFICI,,,,,,,,,,85.0274,85.0274
,BEVERAGE - ,,,,,,,,,24.9315,24.9315
,,ACQUA - ,,,,,,,,24.9315,24.9315
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,84,12.3287,12.3287
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,84,12.6028,12.6028
,VARIE - ,,,,,,,,,60.0959,60.0959
,,CARTBUSA - ,,,,,,,,60.0959,60.0959
,,,VAR.CAR.00013,CARTA A4 500PZX4CF,CF,CF,1.0,3.0515,15,44.85,44.85
,,,VAR.CAR.00015,BOBINA CARTA STRONG 800 STRAPPIX10,PZ,PZ,1.0,3.7585,4,15.2459,15.2459
,,,,,,,,,TOTALE,85.0274,85.0274
