Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo Per.,Sec. Per.
UFFICI,,,,,,,,,,45.4383,45.4383
,BEVERAGE - ,,,,,,,,,25.4383,25.4383
,,ACQUA - ,,,,,,,,25.4383,25.4383
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,60,8.9023,8.9023
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,84,12.6,12.6
,,,BEV.ACQ.00009,ACQUA FRIZZANTE SVEVA 50CLX24PZ,BT,BT,1.0,0.1229,24,3.936,3.936
,VARIE - ,,,,,,,,,20.0,20.0
,,CANPERS - ,,,,,,,,20.0,20.0
,,,VAR.CPE.00012,BIGLIETTINI DA VISITA DIPENDENTI,PZ,PZ,1.0,0.1,200,20.0,20.0
,,,,,,,,,TOTALE,45.4383,45.4383
