Reparto,Classe,Categoria,Codice,Descrizione,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Primo_Periodo,Secondo_Periodo,Valore,Mese,Anno,Row_Type,Reparto_Dir,Reparto_Filled,Classe_Filled,Categoria_Filled
RECEP,,,,,,,,,,7.0104,7.0104,7.0104,11,2024,Reparto,RECEP,RECEP,,
,BEVERAGE - ,,,,,,,,,5.3952,5.3952,5.3952,11,2024,Classe,RECEP,RECEP,BEVERAGE - ,
,,ACQUA - ,,,,,,,,5.3952,5.3952,5.3952,11,2024,Categoria,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,12,1.7952,1.7952,1.7952,11,2024,Articolo,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,,,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,BT,BT,1.0,0.15,24,3.6,3.6,3.6,11,2024,Articolo,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,VARIE - ,,,,,,,,,1.6152,1.6152,1.6152,11,2024,Classe,RECEP,RECEP,VARIE - ,
,,CANCELLE - ,,,,,,,,-5.8362,-5.8362,-5.8362,11,2024,Categoria,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00007,EVIDENZIATORI MULTICOLORE,PZ,PZ,1.0,0.3889,-4,-1.5556,-1.5556,-1.5556,11,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00011,POST-IT 76X76MM,PZ,PZ,12.0,1.0631,1,1.0631,1.0631,1.0631,11,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00018,SCOTCH 50MMX66M,PZ,PZ,1.0,1.4013,1,1.4013,1.4013,1.4013,11,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00022,ROTOLI CARTA 80X80 MM RT 1CFX10PZ,PZ,PZ,0.0,1.4,5,7.0,7.0,7.0,11,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00030,RICARICA X SPILLATRICE 21/4 10CFX2000PZ,CF,CF,1.0,1.92,3,5.76,5.76,5.76,11,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00036,RIGHELLI,PZ,PZ,1.0,4.1775,-2,-8.355,-8.355,-8.355,11,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00043,FORBICI DA UFFICIO WESTCOTT,PZ,PZ,1.0,1.55,-2,-3.1,-3.1,-3.1,11,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,,VAR.CAN.00050,ETICHETTE CHECK-OUT,PZ,PZ,1.0,0.0161,-500,-8.05,-8.05,-8.05,11,2024,Articolo,RECEP,RECEP,VARIE - ,CANCELLE - 
,,CANPERS - ,,,,,,,,-5.25,-5.25,-5.25,11,2024,Categoria,RECEP,RECEP,VARIE - ,CANPERS - 
,,,VAR.CPE.00010,PENNE PERSONALIZZATE BLU,PZ,PZ,1.0,0.4375,-12,-5.25,-5.25,-5.25,11,2024,Articolo,RECEP,RECEP,VARIE - ,CANPERS - 
,,CARTBUSA - ,,,,,,,,12.206,12.206,12.206,11,2024,Categoria,RECEP,RECEP,VARIE - ,CARTBUSA - 
,,,VAR.CAR.00013,CARTA A4 500PZX4CF,CF,CF,1.0,3.0515,4,12.206,12.206,12.206,11,2024,Articolo,RECEP,RECEP,VARIE - ,CARTBUSA - 
,,MONOUSO - ,,,,,,,,0.4954,0.4954,0.4954,11,2024,Categoria,RECEP,RECEP,VARIE - ,MONOUSO - 
,,,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,CF,CF,1.0,0.4954,1,0.4954,0.4954,0.4954,11,2024,Articolo,RECEP,RECEP,VARIE - ,MONOUSO - 
,,,,,,,,,TOTALE,7.0104,7.0104,7.0104,11,2024,Unknown,RECEP,RECEP,VARIE - ,MONOUSO - 
RECEP,,,,,,,,,,81.6219,81.6219,81.6219,06,2024,Reparto,RECEP,RECEP,,
,BEVERAGE - ,,,,,,,,,46.58,46.58,46.58,06,2024,Classe,RECEP,RECEP,BEVERAGE - ,
,,ACQUA - ,,,,,,,,46.58,46.58,46.58,06,2024,Categoria,RECEP,RECEP,BEVERAGE - ,ACQUA - 
,,,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,BT,BT,1.0,0.1496,36,5.1607,5.1607,5.1607,06,2024,Articolo,RECEP,RECEP,BEVERAGE - ,ACQUA - 
