Reparto,Classe,Valore
BARBEACH,FOOD - ,17730.4374
BARBEACH,BEVERAGE - ,14025.9234
BARBEACH,VARIE - ,2018.8116
BARBEACH,ATTREZZ - ,143.55
BARBEACH,PULIZIA - ,100.3379
BRK,FOOD - ,97046.1044
BRK,BEVERAGE - ,14656.3887
BRK,VARIE - ,10025.9383
BRK,PULIZIA - ,273.9255
CANTINA,BEVERAGE - ,16407.2887
CANTINA,FOOD - ,4702.2462
CANTINA,PULIZIA - ,457.68100000000004
CANTINA,VARIE - ,377.582
CUCINA,FOOD - ,33695.909
CUCINA,PULIZIA - ,2110.793
CUCINA,VARIE - ,1301.6059
CUCINA,BEVERAGE - ,30.8686
DIPEND,FOOD - ,4916.184
DIPEND,BEVERAGE - ,1043.7901
DIPEND,VARIE - ,451.9985
DIPEND,PULIZIA - ,47.45
EVENTI,FOOD - ,1954.5653
EVENTI,VARIE - ,408.573
EVENTI,BEVERAGE - ,384.108
EVENTI,PULIZIA - ,23.115499999999997
EVENTO,FOOD - ,292.2769
EVENTO,BEVERAGE - ,92.1458
EVENTO,VARIE - ,13.5
EVENTOLU,FOOD - ,176.757
EVENTOLU,VARIE - ,91.38
EVENTORE,FOOD - ,100.1
HSKCVM,VARIE - ,660.3953
HSKCVM,PULIZIA - ,327.2152
HSKCVM,FOOD - ,0.8137
HSKHOTEL,VARIE - ,15373.9905
HSKHOTEL,BEVERAGE - ,3721.203
HSKHOTEL,PULIZIA - ,3154.1202
HSKHOTEL,FOOD - ,129.1061
HSKHOTEL,MANUTENZ - ,95.269
HSKRES,VARIE - ,3341.5119
HSKRES,PULIZIA - ,1356.1092
HSKRES,FOOD - ,46.012499999999996
HSKRES,BEVERAGE - ,7.1906
IMBARCAZ,BEVERAGE - ,316.478
IMBARCAZ,PULIZIA - ,31.9991
IMBARCAZ,VARIE - ,18.9408
IMBARCAZ,FOOD - ,2.5905
MANCVM,MANUTENZ - ,1.62
MANHOTEL,MANUTENZ - ,6455.9429
MANHOTEL,VARIE - ,88.725
MANHOTEL,PULIZIA - ,73.6248
MANHOTEL,ATTREZZ - ,4.92
MANRESID,MANUTENZ - ,64.226
POOLHTL,VARIE - ,895.6252
POOLRES,VARIE - ,2890.1514
PROPRIET,PROPDIRE - ,2902.69
PROPRIET,FOOD - ,2369.9618
PROPRIET,PULIZIA - ,536.1946
PROPRIET,VARIE - ,504.3286
PROPRIET,BEVERAGE - ,162.9766
PROPRIET,MANUTENZ - ,20.57
RECEP,VARIE - ,415.1592
RECEP,BEVERAGE - ,406.9642
UFFICI,BEVERAGE - ,215.9416
UFFICI,VARIE - ,120.14030000000001
UFFICI,MANUTENZ - ,8.6064
