Reparto,Classe,Categoria,Codice,Descrizione,Valore,Mese,U.M.A.,U.M.C.,Coeff Conv,Euro Medio,Quantita,Anno
RECEP,BEVERAGE - ,ACQUA - ,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,1.7952,11,BT,BT,1.0,0.1496,12,2024
RECEP,BEVERAGE - ,ACQUA - ,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,3.6,11,BT,BT,1.0,0.15,24,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00007,EVIDENZIATORI MULTICOLORE,-1.5556,11,PZ,PZ,1.0,0.3889,-4,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00011,POST-IT 76X76MM,1.0631,11,PZ,PZ,12.0,1.0631,1,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00018,SCOTCH 50MMX66M,1.4013,11,PZ,PZ,1.0,1.4013,1,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00022,ROTOLI CARTA 80X80 MM RT 1CFX10PZ,7.0,11,PZ,PZ,0.0,1.4,5,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00030,RICARICA X SPILLATRICE 21/4 10CFX2000PZ,5.76,11,CF,CF,1.0,1.92,3,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00036,RIGHELLI,-8.355,11,PZ,PZ,1.0,4.1775,-2,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00043,FORBICI DA UFFICIO WESTCOTT,-3.1,11,PZ,PZ,1.0,1.55,-2,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00050,ETICHETTE CHECK-OUT,-8.05,11,PZ,PZ,1.0,0.0161,-500,2024
RECEP,VARIE - ,CANPERS - ,VAR.CPE.00010,PENNE PERSONALIZZATE BLU,-5.25,11,PZ,PZ,1.0,0.4375,-12,2024
RECEP,VARIE - ,CARTBUSA - ,VAR.CAR.00013,CARTA A4 500PZX4CF,12.206,11,CF,CF,1.0,3.0515,4,2024
RECEP,VARIE - ,MONOUSO - ,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,0.4954,11,CF,CF,1.0,0.4954,1,2024
RECEP,BEVERAGE - ,ACQUA - ,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,5.1607,06,BT,BT,1.0,0.1496,36,2024
RECEP,BEVERAGE - ,ACQUA - ,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,41.4193,06,BT,BT,1.0,0.15,276,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00003,GRAFFETTE MISURA 4 1CFX100PZ,1.54,06,CF,CF,1.0,0.385,4,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00011,POST-IT 76X76MM,6.3786,06,PZ,PZ,12.0,1.0631,6,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00023,ROTOLI CARTA 57X18 MM POS 1CFX10 PZ,14.5885,06,PZ,PZ,0.0,0.3353,25,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00050,ETICHETTE CHECK-OUT,4.824,06,PZ,PZ,1.0,0.0161,300,2024
RECEP,VARIE - ,CANPERS - ,VAR.CPE.00010,PENNE PERSONALIZZATE BLU,4.3748,06,PZ,PZ,1.0,0.4375,10,2024
RECEP,VARIE - ,MONOUSO - ,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,3.336,06,CF,CF,1.0,0.4954,5,2024
RECEP,BEVERAGE - ,ACQUA - ,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,7.1917,07,BT,BT,1.0,0.1496,49,2024
RECEP,BEVERAGE - ,ACQUA - ,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,68.1149,07,BT,BT,1.0,0.15,454,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00003,GRAFFETTE MISURA 4 1CFX100PZ,0.385,07,CF,CF,1.0,0.385,1,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00007,EVIDENZIATORI MULTICOLORE,0.7778,07,PZ,PZ,1.0,0.3889,2,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00011,POST-IT 76X76MM,1.0631,07,PZ,PZ,12.0,1.0631,1,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00012,POST-IT 50X38MM,4.964,07,PZ,PZ,1.0,0.4964,10,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00023,ROTOLI CARTA 57X18 MM POS 1CFX10 PZ,21.7943,07,PZ,PZ,0.0,0.3353,65,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00028,FALDINE PERFORATE TRASPARENTI 22X30 CM,5.5772,07,CF,CF,1.0,1.3943,4,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00050,ETICHETTE CHECK-OUT,11.27,07,PZ,PZ,1.0,0.0161,700,2024
RECEP,VARIE - ,CANPERS - ,VAR.CPE.00010,PENNE PERSONALIZZATE BLU,24.0625,07,PZ,PZ,1.0,0.4375,55,2024
RECEP,VARIE - ,CARTBUSA - ,VAR.CAR.00013,CARTA A4 500PZX4CF,53.82,07,CF,CF,1.0,3.0515,18,2024
RECEP,VARIE - ,MONOUSO - ,VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,5.544,07,CF,CF,1.0,0.4954,7,2024
RECEP,VARIE - ,MONOUSO - ,VAR.MON.00013,BICCHIERI PLASTICA KRISTAL 16CL30CFX100P,1.0,07,CF,CF,1.0,1.0,1,2024
RECEP,BEVERAGE - ,ACQUA - ,BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,5.6697,04,BT,BT,1.0,0.1496,48,2024
RECEP,BEVERAGE - ,ACQUA - ,BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,54.1787,04,BT,BT,1.0,0.15,360,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00003,GRAFFETTE MISURA 4 1CFX100PZ,0.385,04,CF,CF,1.0,0.385,1,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00007,EVIDENZIATORI MULTICOLORE,1.9446,04,PZ,PZ,1.0,0.3889,5,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00011,POST-IT 76X76MM,2.1262,04,PZ,PZ,12.0,1.0631,2,2024
RECEP,VARIE - ,CANCELLE - ,VAR.CAN.00016,SCOTCH 19MMX33M,0.5179,04,PZ,PZ,1.0,0.5179,1,2024
