Data,Mese_Nome,Reparto,Valore
2024-04,April,BRK,8883.0184
2024-04,April,MANHOTEL,4162.5572
2024-04,April,HSKHOTEL,1708.2047
2024-04,April,DIPEND,851.0763000000001
2024-04,April,PROPRIET,589.2572
2024-04,April,CANTINA,385.7778
2024-04,April,HSKRES,268.553
2024-04,April,POOLRES,188.1667
2024-04,April,HSKCVM,116.5125
2024-04,April,UFFICI,72.0617
2024-04,April,RECEP,67.3552
2024-04,April,CUCINA,50.1479
2024-04,April,MANCVM,1.62
2024-05,May,BRK,15004.036
2024-05,May,HSKHOTEL,5142.5884
2024-05,May,CUCINA,1734.5781
2024-05,May,MANHOTEL,1217.0791
2024-05,May,DIPEND,1061.5481
2024-05,May,CANTINA,813.7418
2024-05,May,PROPRIET,368.6741
2024-05,May,HSKRES,311.2871
2024-05,May,HSKCVM,231.3585
2024-05,May,POOLRES,167.0
2024-05,May,BARBEACH,143.55
2024-05,May,UFFICI,76.22
2024-05,May,RECEP,57.1087
2024-05,May,IMBARCAZ,55.7042
2024-06,June,BRK,18966.2331
2024-06,June,BARBEACH,7669.2121
2024-06,June,CUCINA,5087.6426
2024-06,June,CANTINA,3923.2667
2024-06,June,HSKHOTEL,2126.4688
2024-06,June,DIPEND,1324.8178
2024-06,June,PROPRIET,919.0467
2024-06,June,HSKRES,493.7942
2024-06,June,MANHOTEL,397.61289999999997
2024-06,June,POOLRES,331.7651
2024-06,June,HSKCVM,222.2799
2024-06,June,IMBARCAZ,120.33030000000001
2024-06,June,RECEP,81.6219
2024-06,June,MANRESID,62.7
2024-06,June,UFFICI,35.4753
2024-07,July,BRK,22540.9943
2024-07,July,BARBEACH,10113.5803
2024-07,July,CUCINA,8368.5314
2024-07,July,CANTINA,4206.6999
2024-07,July,HSKHOTEL,2993.6223
2024-07,July,PROPRIET,1330.0034
2024-07,July,HSKRES,1207.1508000000001
2024-07,July,DIPEND,790.9771
2024-07,July,POOLRES,621.3281999999999
2024-07,July,MANHOTEL,365.4145
2024-07,July,RECEP,205.5645
2024-07,July,HSKCVM,106.3873
2024-07,July,UFFICI,85.0274
2024-07,July,IMBARCAZ,63.9985
2024-08,August,BRK,21773.7016
2024-08,August,BARBEACH,10276.1404
2024-08,August,CUCINA,9430.9108
2024-08,August,CANTINA,4940.4674
2024-08,August,HSKHOTEL,4519.4072
2024-08,August,HSKRES,1292.5748
2024-08,August,PROPRIET,911.6389
2024-08,August,POOLRES,877.1596
2024-08,August,DIPEND,675.3005
2024-08,August,POOLHTL,316.5127
2024-08,August,RECEP,157.73590000000002
2024-08,August,HSKCVM,144.9814
2024-08,August,MANHOTEL,117.4636
2024-08,August,IMBARCAZ,101.2033
2024-08,August,UFFICI,45.4383
2024-09,September,BRK,19710.0224
2024-09,September,CUCINA,6920.0643
2024-09,September,BARBEACH,5050.761
2024-09,September,CANTINA,4659.8261999999995
2024-09,September,HSKHOTEL,3482.1391
2024-09,September,DIPEND,796.324
2024-09,September,PROPRIET,631.7689
2024-09,September,HSKRES,591.8027
2024-09,September,POOLRES,468.4801
2024-09,September,POOLHTL,316.5125
2024-09,September,MANHOTEL,278.2348
2024-09,September,RECEP,182.9968
2024-09,September,HSKCVM,105.42039999999999
2024-09,September,UFFICI,30.465600000000002
2024-09,September,IMBARCAZ,28.7721
2024-10,October,BRK,13749.4357
2024-10,October,CUCINA,4185.3629
2024-10,October,CANTINA,2911.9423
2024-10,October,HSKHOTEL,2491.6253
2024-10,October,PROPRIET,1079.9035999999999
2024-10,October,BARBEACH,765.8165
2024-10,October,DIPEND,620.5864
2024-10,October,HSKRES,585.6616
2024-10,October,POOLHTL,262.6
2024-10,October,POOLRES,236.25170000000003
2024-10,October,RECEP,62.73
2024-10,October,HSKCVM,61.4842
2024-10,October,MANHOTEL,42.4216
2024-10,October,MANRESID,1.526
2024-11,November,BRK,1374.9154
2024-11,November,CUCINA,1361.9385
2024-11,November,PROPRIET,496.32869999999997
2024-11,November,DIPEND,288.0201
2024-11,November,CANTINA,103.0758
2024-11,November,MANHOTEL,42.429
2024-11,November,HSKHOTEL,9.633
2024-11,November,RECEP,7.010399999999999
2024-12,December,PROPRIET,170.1001
2024-12,December,DIPEND,50.772299999999994
2024-12,December,POOLHTL,0.0
2024-Evento Ferragosto 2024.csv,Evento Ferragosto 2024.csv,EVENTI,2770.3618
2024-Evento Ludovici 2024.csv,Evento Ludovici 2024.csv,EVENTOLU,268.137
2024-Evento Reisen 2024.csv,Evento Reisen 2024.csv,EVENTORE,100.1
2024-Evento Viamundi 2024.csv,Evento Viamundi 2024.csv,EVENTO,397.92269999999996
