Codice,Descrizione,Valore
FOO.UOV.00001,UOVA FRESCHE L CAT. A X 180PZ,6399.0415
VAR.MON.00007,TOVAGLIE 100X100 (4CFX25PZ),5555.999
VAR.COR.00014,DOCCIA SHAMPOO 30ML 4CFX62PZ,5431.1434
BEV.BOL.00001,PROSECCO TERRA SERENA 75CL X 6,4389.486
BEV.BIR.00005,BIRRA PORETTI SPINA 20LT,4333.0011
VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,4221.1615
CAF.BEV.00004,CAFFE IN GRANI BREAKFAST,4170.0
FOO.FRU.00008,ANGURIA,3857.0466
FOO.SAL.00005,PANCETTA / BACON,3569.6282
FOO.SDO.00013,CORNETTO VUOTO 30GRX150PZ,3214.4775
FOO.PES.00014,SPIGOLA  A,3103.1898
FOO.SDO.00047,PANCAKE PREPARATO MACCHINA GR 730,3075.0
FOO.SAL.00004,PETTO DI TACCHINO FERRARINI,3054.5018
FOO.CRO.00001,SALSICCIA AIA LUGANEGA,3044.4944
FOO.ORT.00002,POMODORO CUORE DI BUE,2795.9645
BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,2734.3324
FOO.FRU.00010,MELONE GIALLO,2680.0784
FOO.FRU.00009,MELONE CANTALUPO,2676.8617
VAR.COR.00006,DOCCIA SHAMPOO AMALFI COAST 30ML,2653.0
FOO.SDO.00015,"KRAPFEN AL CIOCCOLATO 20GRX2,5KG",2598.4
