Codice,Descrizione,Valore
FOO.SCA.00018,TONNO DELFINO 870GR,1781.04
BEV.BOL.00001,PROSECCO TERRA SERENA 75CL X 6,1775.9415
BEV.BIR.00005,BIRRA PORETTI SPINA 20LT,1419.1819
BEV.ACQ.00010,ACQUA NATURALE LILIA 50CLX24PZ,1060.2703000000001
FOO.LAT.00003,MOZZARELLA FIOR DI LATTE,1051.875
BEV.SOF.00012,COCA COLA ZERO 45CL X 12 PET,964.6074
BEV.SOF.00011,COCA COLA 45CL X 24 PET,901.1831
BEV.CAF.00003,CAFFE IN GRANI,901.0
FOO.PAN.00015,PANINI 100GR,770.8
FOO.SSA.00020,"PIZZA MARGHERITA 1,2KGX4PZ",733.2909999999999
