Codice,Descrizione,Valore
FOO.PES.00014,SPIGOLA  A,3037.5452
FOO.PES.00009,VONGOLE ITALIA,2493.884
FOO.CBI.00001,PETTO DI POLLO INTERO,1770.3234
FOO.OLI.00003,OLIO D'OLIVA EXTRA VERGINE LT.5,1533.8962000000001
FOO.CRO.00005,ENTRECOTE BOVINO SV,1482.12
FOO.LAT.00003,MOZZARELLA FIOR DI LATTE,1473.75
FOO.PES.00012,CALAMARI PULITI U5 IQF,1326.0
FOO.PES.00005,SEPPIA PULITA 1/2 GELO,1124.864
PUL.DET.00046,DETERSIVO LAVAST. TOPMATIC ECOLAB 25LT,1018.1499999999999
FOO.SSA.00010,FRITTO MISTO 6KG,996.7937
