Codice,Descrizione,Valore
FOO.SDO.00067,DOLCE MELENZANE AL CIOCCOLATO 130GR,261.0
VAR.MON.00061,PIROGA IL LEGNO 28X1 50 PZ,115.28
BEV.CAF.00003,CAFFE IN GRANI,102.0
BEV.SOF.00011,COCA COLA 45CL X 24 PET,89.5968
VAR.MON.00056,FINGER GOCCIA PLASTICA 50PZ,76.0
FOO.PES.00021,GAMBERI DECAPITATI 26/30,75.2
FOO.SDO.00064,DOLCI MIGNON RICOTTA E PERA 40GR,75.0
FOO.SDO.00065,DOLCI MIGNON CROSTATINA CON FRAGOLE 40GR,75.0
FOO.SDO.00066,DOLCI MIGNON PROFITTEROL 40GR,75.0
FOO.SDO.00061,DOLCI MIGNON DELIZIE A LIMONE 40GR,75.0
