Codice,Descrizione,Valore
VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,193.3045
VAR.COR.00005,SAPONETTE 15GR 2CFX250PZ,148.8525
VAR.COR.00014,DOCCIA SHAMPOO 30ML 4CFX62PZ,146.7978
VAR.CAR.00002,BUSTE SPAZZATURA 55X65 20KG,81.6471
PUL.STR.00009,PAGLIETTE D'ACCIAIO 1CFX10PZ,79.2673
PUL.STR.00018,PANNO BALLERINA 3PZX15CF,74.75
VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,52.3149
PUL.DET.00025,PASTICCHE LAVASTOVIGLIE FAIRY 2CFX100PZ,44.0001
PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,39.4118
VAR.PER.00005,CUFFIE DOCCIA PANORAMA 1000PZ,30.0535
