Codice,Descrizione,Valore
VAR.COR.00014,DOCCIA SHAMPOO 30ML 4CFX62PZ,3809.4276
VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,2940.124
VAR.COR.00006,DOCCIA SHAMPOO AMALFI COAST 30ML,2653.0
BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,2085.1064
VAR.COR.00007,SAPONETTE AMALFI COAST 15GR,934.3855
BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,862.1287
VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,623.7135
VAR.CAR.00005,BUSTE SPAZZATURA 90X120 20KG,586.8557
VAR.COR.00005,SAPONETTE 15GR 2CFX250PZ,585.5944999999999
VAR.COR.00003,VANITY SET,529.65
