Codice,Descrizione,Valore
VAR.COR.00014,DOCCIA SHAMPOO 30ML 4CFX62PZ,1474.9180000000001
VAR.CAR.00006,CARTA IGIENICA LUCART 6PZX12CF,925.088
PUL.STR.00018,PANNO BALLERINA 3PZX15CF,319.6568
VAR.COR.00005,SAPONETTE 15GR 2CFX250PZ,286.7627
VAR.PER.00005,CUFFIE DOCCIA PANORAMA 1000PZ,228.6865
VAR.CAR.00011,BUSTE SPAZZATURA 55X65 50PZ ROTOLI,197.2778
PUL.STR.00013,SPUGNE SCOTCH-BRITE 3PZ X 40 CF,186.3224
VAR.CAR.00002,BUSTE SPAZZATURA 55X65 20KG,158.5884
PUL.STR.00036,PANNO PER PAVIMENTI,132.4619
PUL.DET.00036,BUSTINE DETERSIVO LIQUIDO 50GR,98.4
