Codice,Descrizione,Valore
BEV.BIR.00003,BIRRA NASTRO AZZURRO 33CL X 24 LATTINA,68.84
BEV.ACQ.00010,ACQUA NATURALE LILIA 50CLX24PZ,59.0406
BEV.ACQ.00009,ACQUA FRIZZANTE SVEVA 50CLX24PZ,59.039699999999996
BEV.APE.00003,APEROL,54.721000000000004
BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,34.2292
BEV.BOL.00001,PROSECCO TERRA SERENA 75CL X 6,21.4799
BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,19.1276
PUL.DET.00009,SGRASSATORE CHANTECLAIR 600MLX12PZ,16.32
VAR.CAR.00015,BOBINA CARTA STRONG 800 STRAPPIX10,7.623
PUL.STR.00036,PANNO PER PAVIMENTI,7.3645
