Codice,Descrizione,Valore
MAN.VER.00004,GUAINA LIQUIDA ICOPER BIANCO 20 KG,2000.0
MAN.MED.00021,TAVOLE  ABETE 50X50,600.0
MAN.VER.00001,PITTURA LAVABILE BIANCA SILOX 14 LT,415.8
MAN.VER.00003,PRIMER FISSATIVO PER GUAINA LIQ 10 LT,315.0
MAN.MED.00024,BLOCCHI CEMENTO,288.88
MAN.MAV.00008,ASCIUGACAPELLI DA PARETE 2000W BEPER,193.7053
MAN.MED.00010,CEMENTO PRONTO PRESA 25KG,156.95
MAN.VER.00002,PITTURA PRIMER SILOX 14 LT,133.0
MAN.MED.00055,PITTURA BIANCA LT.14,113.11
MAN.ELE.00005,PRESA SCHUKO MATIX BIANCA,85.5049
