Codice,Descrizione,Valore
BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,353.09360000000004
VAR.CAR.00013,CARTA A4 500PZX4CF,123.0822
VAR.CAN.00023,ROTOLI CARTA 57X18 MM POS 1CFX10 PZ,67.3909
VAR.CAN.00022,ROTOLI CARTA 80X80 MM RT 1CFX10PZ,64.4
VAR.CPE.00010,PENNE PERSONALIZZATE BLU,55.1248
BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,53.870599999999996
VAR.CAN.00050,ETICHETTE CHECK-OUT,32.194
VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,18.0615
VAR.CAN.00012,POST-IT 50X38MM,14.892000000000001
VAR.CAN.00011,POST-IT 76X76MM,12.7572
