Codice,Descrizione,Valore
BEV.ACQ.00005,ACQUA NATURALE 50CL X 12,146.6456
BEV.ACQ.00004,ACQUA FRIZZANTE 50CL X 12,60.774
VAR.CAR.00013,CARTA A4 500PZX4CF,44.85
VAR.CPE.00012,BIGLIETTINI DA VISITA DIPENDENTI,20.0
VAR.CAR.00015,BOBINA CARTA STRONG 800 STRAPPIX10,15.2459
VAR.CAN.00040,SPILLATRICE,12.7
MAN.MVA.00001,NASTRO ADESIVO DA IMBALLAGGIO,8.6064
VAR.CAN.00030,RICARICA X SPILLATRICE 21/4 10CFX2000PZ,7.68
VAR.CAN.00044,BLOCKNOTES,6.5288
VAR.MON.00003,FAZZOLETTI STRAPPO LUCART 40BOX X 100 PZ,5.3378
